tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety
1.0,6.0,61.0,411.0,2650.0,378.57142857142856,43.44262295081968,6.447688564476886,1.2068126520681266,8.131147540983607,70.85714285714286,0.1147540983606557,0.9330825047030368,8.741486988847583,-0.35527786898099606,2.5951586383559584
2.0,18.0,103.0,671.0,4652.0,244.8421052631579,45.16504854368932,6.9329359165424735,1.0625931445603576,6.922330097087379,37.526315789473685,0.1844660194174757,1.2769346781034971,9.114815189873418,-0.3518108614290072,2.552022425967994
3.0,3.0,53.0,359.0,2568.0,642.0,48.45283018867924,7.153203342618385,1.6852367688022285,11.41509433962264,151.25,0.0754716981132075,0.8615165539337842,8.690398550724634,-0.337136740193216,3.2535694889718125
4.0,11.0,45.0,317.0,2292.0,191.0,50.93333333333333,7.230283911671925,0.7097791798107256,5.0,18.75,0.2666666666666666,1.3333333333333333,9.917544554455445,-0.34800492920227155,2.765401650575152
5.0,9.0,44.0,279.0,2030.0,203.0,46.13636363636363,7.275985663082437,0.7526881720430108,4.7727272727272725,21.0,0.2272727272727272,1.0847107438016528,9.85426953567384,-0.34902286020986817,2.8231357783329103
6.0,7.0,41.0,316.0,2194.0,274.25,53.51219512195122,6.943037974683544,0.5411392405063291,4.170731707317073,21.375,0.1951219512195122,0.8138013087447948,7.389581993569127,-0.34622842828758255,2.7532564430526763
7.0,7.0,50.0,319.0,2138.0,267.25,42.76,6.702194357366771,1.2163009404388714,7.76,48.5,0.16,1.2416,7.871884700665188,-0.3555328918216137,2.6587968353485594
8.0,8.0,61.0,440.0,2910.0,323.3333333333333,47.704918032786885,6.613636363636363,2.497727272727273,18.016393442622952,122.11111111111111,0.1475409836065573,2.658156409567321,8.163812654067378,-0.35196713114235084,2.57550608544461
9.0,18.0,107.0,739.0,4922.0,259.05263157894734,46.0,6.660351826792963,2.009472259810555,13.878504672897195,78.15789473684211,0.1775700934579439,2.4644073718228667,9.331182592242197,-0.3546758771950071,2.4509105744293485
10.0,6.0,46.0,267.0,2008.0,286.85714285714283,43.65217391304348,7.520599250936329,2.49438202247191,14.478260869565217,95.14285714285714,0.1521739130434782,2.2032136105860114,8.808335220838053,-0.34318818368099624,3.032830338887985
11.0,12.0,209.0,1165.0,7792.0,599.3846153846154,37.2822966507177,6.688412017167382,0.111587982832618,0.6220095693779905,10.0,0.062200956937799,0.0386895904397793,7.39042647994907,-0.35115962099217507,2.4957932612777878
12.0,4.0,50.0,300.0,2062.0,412.4,41.24,6.873333333333333,0.7,4.2,42.0,0.1,0.42,8.362382022471909,-0.3492431685520429,2.9527777777777775
13.0,3.0,15.0,91.0,628.0,157.0,41.86666666666667,6.9010989010989015,21.46153846153846,130.2,488.25,0.2666666666666666,34.72,6.149677419354838,-0.3600640582432983,3.2109890109890116
14.0,1.0,13.0,81.0,470.0,235.0,36.15384615384615,5.802469135802469,17.666666666666668,110.07692307692308,715.5,0.1538461538461538,16.93491124260355,8.207799999999999,-0.3774188051292254,3.9730927508705283
15.0,8.0,104.0,712.0,5120.0,568.8888888888889,49.23076923076923,7.191011235955056,0.3089887640449438,2.1153846153846154,24.444444444444443,0.0865384615384615,0.1830621301775148,10.289303151353746,-0.33733329689169517,2.7741645059060787
16.0,11.0,83.0,550.0,3916.0,326.3333333333333,47.18072289156626,7.12,0.4,2.6506024096385543,18.33333333333333,0.144578313253012,0.3832196254899114,9.224925462134763,-0.34485206077290664,2.6875867104782767
17.0,6.0,36.0,267.0,1896.0,270.85714285714283,52.66666666666666,7.101123595505618,1.895131086142322,14.055555555555555,72.28571428571429,0.1944444444444444,2.7330246913580245,9.60079718640094,-0.3445725852046117,2.8713066999583856
18.0,13.0,100.0,724.0,4992.0,356.57142857142856,49.92,6.895027624309392,1.3204419889502763,9.56,68.28571428571429,0.14,1.3384000000000005,9.227718631178709,-0.34562895751277445,2.567845303867403
19.0,4.0,48.0,283.0,2106.0,421.2,43.875,7.4416961130742045,3.2261484098939928,19.02083333333333,182.6,0.1041666666666666,1.981336805555556,8.26545034642032,-0.3398980213153188,3.191966038476639
,,,,,,,,,,,,,,,
