tale_id;num_episodes;num_sentences;num_clauses;num_words;avg_sentences/episode;avg_clauses/sentence;avg_words/clause;avg_episode_length;avg_sentence_length;avg_clause_length;avg_dep_distance_clause;avg_dep_distance_sentence;avg_dep_distance_episode;Average_Eventfulness;Average_I;CLI;Average_homotethy;D_h
1.0;6.0;71.0;508.0;3142.0;11.8333333333;7.1549295775;6.1850393701;448.8571428571;44.2535211268;6.1850393701;1.0649606299;7.6197183099;77.2857142857;0.0985915493;0.7512398334;9.2240948617;8.3911007603;-0.5352790843088132
2.0;18.0;135.0;1005.0;6556.0;7.5;7.4444444444;6.5233830846;345.0526315789;48.562962963;6.5233830846;0.3024875622;2.2518518519;16.0;0.1407407407;0.3169272977;9.6103487064;7.155942509666667;-0.5594365482894784
3.0;18.0;152.0;1091.0;6906.0;8.4444444444;7.1776315789;6.3299725023;363.4736842105;45.4342105263;6.3299725023;0.1924839597;1.3815789474;11.0526315789;0.125;0.1726973684;10.2143807502;7.317349508533333;-0.5558958033324952
4.0;9.0;53.0;473.0;3182.0;5.8888888889;8.9245283019;6.7272727273;318.2;60.0377358491;6.7272727273;0.7758985201;6.9245283019;36.7;0.1886792453;1.3065147739;9.7354819277;7.1802299727;-0.5659600894059542
5.0;7.0;39.0;375.0;2500.0;5.5714285714;9.6153846154;6.6666666667;312.5;64.1025641026;6.6666666667;0.336;3.2307692308;15.75;0.2051282051;0.6627218935;9.2888182721;7.284493284500001;-0.56802840921278
6.0;10.0;44.0;424.0;2838.0;4.4;9.6363636364;6.6933962264;258.0;64.5;6.6933962264;0.9575471698;9.2272727273;36.9090909091;0.25;2.3068181818;10.7862159934;6.909919954266667;-0.6014332453669176
7.0;6.0;79.0;599.0;4016.0;13.1666666667;7.582278481;6.7045075125;573.7142857143;50.835443038;6.7045075125;0.9031719533;6.8481012658;77.2857142857;0.0886075949;0.606793783;9.1359507692;9.151150886733333;-0.5152931437259297
8.0;20.0;110.0;881.0;5780.0;5.5;8.0090909091;6.5607264472;275.2380952381;52.5454545455;6.5607264472;1.7786606129;14.2454545455;74.619047619;0.1909090909;2.7195867769;10.3071475954;6.689939118766667;-0.5855003814944025
9.0;7.0;50.0;367.0;2400.0;7.1428571429;7.34;6.5395095368;300.0;48.0;6.5395095368;1.1825613079;8.68;54.25;0.16;1.3888;9.3108910891;7.0074555598999995;-0.5649830131501444
10.0;4.0;42.0;376.0;2570.0;10.5;8.9523809524;6.835106383;514.0;61.1904761905;6.835106383;0.7978723404;7.1428571429;60.0;0.119047619;0.8503401361;8.9392797784;8.762495778466667;-0.513336122442737
11.0;8.0;52.0;489.0;3168.0;6.5;9.4038461538;6.4785276074;352.0;60.9230769231;6.4785276074;2.2699386503;21.3461538462;123.3333333333;0.1730769231;3.6945266272;9.7858914729;7.460791253733333;-0.5550338647016577
12.0;3.0;54.0;424.0;2850.0;18.0;7.8518518519;6.7216981132;712.5;52.7777777778;6.7216981132;1.0872641509;8.537037037;115.25;0.0740740741;0.6323731139;9.2861433447;10.857849988366667;-0.4966009894767713
13.0;17.0;172.0;1266.0;7684.0;10.1176470588;7.3604651163;6.0695102686;426.8888888889;44.6744186047;6.0695102686;0.6879936809;5.0639534884;48.3888888889;0.1046511628;0.5299486209;6.9907330195;7.849207481233333;-0.5447712237959376
14.0;20.0;146.0;1027.0;7284.0;7.3;7.0342465753;7.0925024343;346.8571428571;49.8904109589;7.0925024343;0.164556962;1.1575342466;8.0476190476;0.1438356164;0.1664946519;10.5192227806;7.1422496698666675;-0.5588703513740102
15.0;13.0;107.0;839.0;5446.0;8.2307692308;7.8411214953;6.4910607867;389.0;50.8971962617;6.4910607867;0.3182359952;2.4953271028;19.0714285714;0.1308411215;0.3264913966;9.6476021314;7.5209838376;-0.5473398470332027
16.0;3.0;6.0;96.0;542.0;2.0;16.0;5.6458333333;135.5;90.3333333333;5.6458333333;3.4895833333;55.8333333333;83.75;0.6666666667;37.2222222222;8.3130973451;7.8819444444333335;-0.8719674688155244
17.0;10.0;96.0;626.0;4484.0;9.6;6.5208333333;7.1629392971;407.6363636364;46.7083333333;7.1629392971;1.1996805112;7.8229166667;68.2727272727;0.1145833333;0.8963758681;9.0222103577;7.761257543466666;-0.543211853624307
18.0;3.0;11.0;116.0;704.0;3.6666666667;10.5454545455;6.0689655172;176.0;64.0;6.0689655172;13.1724137931;138.9090909091;382.0;0.3636363636;50.5123966942;7.2633887043;6.760362243133333;-0.6403927314032448
