tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
2,3,"Su, muoviti!""",5,2,10,0.125,1.25
2,3,"- ""Ah, babbo, guardo il mio gattino bianco che è sul tetto e vuole dirmi addio.""",21,6,210,0.125,26.25
2,3,"Disse la madre: ""Ehi, sciocco, non è il tuo gattino, è il primo sole che brilla sul comignolo.""",25,6,172,0.125,21.5
2,3,"Hänsel però non aveva guardato il gattino, ma aveva buttato ogni volta sulla strada uno dei sassolini lucidi che aveva in tasca.",24,4,276,0.125,34.5
2,4,"Quando giunsero in mezzo al bosco, il padre disse: ""Ora raccogliete legna, bambini, voglio accendere un fuoco per non gelare.""",27,7,351,0.3333333333333333,117.0
2,4,Hänsel e Gretel raccolsero rami secchi e ne fecero un mucchietto.,12,3,56,0.3333333333333333,18.666666666666664
2,4,"Poi accesero il fuoco e quando la fiamma si levò alta, la madre disse: ""Adesso stendetevi accanto al fuoco e dormite, noi andiamo a spaccare legna nel bosco; aspettate fino a quando non torniamo a prendervi.""",43,9,487,0.3333333333333333,162.33333333333331
2,5,"Hänsel e Gretel rimasero accanto al fuoco fino a mezzogiorno, poi ciascuno mangiò il proprio pezzetto di pane.",20,3,172,0.14285714285714285,24.57142857142857
2,5,Credevano che il padre fosse ancora nel bosco perché‚ udivano i colpi d'accetta; invece era un ramo che egli aveva legato a un albero e che il vento sbattéva di qua e di là.,36,8,434,0.14285714285714285,62.0
2,5,"Così attesero fino a sera, ma il padre e la madre non tornavano e nessuno veniva a prenderli.",20,6,190,0.14285714285714285,27.142857142857142
2,5,"Quando fu notte fonda Gretel incominciò a piangere, ma Hänsel disse: ""Aspetta soltanto un poco, finché‚ sorga la luna.""",25,6,300,0.14285714285714285,42.857142857142854
2,5,"E quando la luna sorse, prese Gretel per mano; i ciottoli brillavano come monete nuove di zecca e indicavano loro il cammino.",25,8,156,0.14285714285714285,22.285714285714285
2,5,Camminarono tutta la notte e quando fu mattina giunsero alla casa patema.,13,3,78,0.14285714285714285,11.142857142857142
2,5,"Il padre si rallegrò di cuore quando vide i suoi bambini, poiché‚ gli era dispiaciuto doverli lasciare soli; la madre finse anch'essa di rallegrarsi, ma segretamente ne era furiosa.",33,6,321,0.14285714285714285,45.857142857142854
2,6,"Non passò molto tempo e il pane tornò a mancare in casa, e Hänsel e Gretel udirono una sera la madre che diceva al padre: ""Una volta i bambini hanno ritrovato il cammino e io ho lasciato correre: ma adesso non c'è di nuovo più niente, rimane solo una mezza pagnotta in casa; devi condurli domani più addentro nel bosco, perché‚ non ritrovino la strada: per noi non c'è altro rimedio.""",85,15,3031,0.3333333333333333,1010.3333333333333
2,6,"L'uomo si sentì stringere il cuore e pensò: ""Sarebbe meglio se dividessi l'ultimo boccone con i tuoi bambini.""",22,4,163,0.3333333333333333,54.33333333333333
2,6,"Ma siccome aveva già ceduto una volta, non pot‚ dire di no.",14,3,69,0.3333333333333333,23.0
2,7,"Quando i bambini ebbero udito quel discorso, Hänsel si alzò per raccogliere di nuovo i ciottoli, ma quando giunse alla porta, la madre l'aveva chiusa.",29,8,235,0.5,117.5
2,7,"Tuttavia consolò Gretel e disse: ""Dormi, cara Gretel, il buon Dio ci aiuterà.""",19,5,126,0.5,63.0
2,8,"Allo spuntar del giorno ebbero il loro pezzetto di pane, ancora più piccolo della volta precedente.",18,3,153,0.1111111111111111,17.0
2,8,Per strada Hänsel lo sbriciolò in tasca; si fermava sovente e gettava una briciola per terra.,18,5,111,0.1111111111111111,12.333333333333332
2,8,"""Perché‚ ti fermi sempre, Hänsel, e ti guardi intorno?""",14,4,91,0.1111111111111111,10.11111111111111
2,8,disse il padre.,4,1,6,0.1111111111111111,0.6666666666666666
2,8,"""Cammina!""",4,1,6,0.1111111111111111,0.6666666666666666
2,8,"- ""Ah!",4,2,6,0.1111111111111111,0.6666666666666666
2,8,"Guardo il mio piccioncino che è sul tetto e vuole dirmi addio.""",14,3,91,0.1111111111111111,10.11111111111111
2,8,"- ""Sciocco,"" disse la madre, ""non è il tuo piccione, è il primo sole che brilla sul comignolo.""",26,6,225,0.1111111111111111,25.0
2,8,Ma Hänsel sbriciolò tutto il suo pane e gettò le briciole per via.,14,4,69,0.1111111111111111,7.666666666666666
2,9,"La madre li condusse ancora più addentro nel bosco, dove non erano mai stati in vita loro.",19,4,139,0.125,17.375
2,9,Là dovevano di nuovo sedere accanto al fuoco e dormire e alla sera i genitori sarebbero venuti a prenderli.,20,3,120,0.125,15.0
2,9,"A mezzogiorno Gretel divise il proprio pane con Hänsel, che aveva sparso tutto il suo per via.",19,4,171,0.125,21.375
2,9,Ma passò mezzogiorno e passò anche la sera senza che nessuno venisse dai poveri bambini.,16,4,120,0.125,15.0
2,9,"Hänsel consolò Gretel e disse: ""Aspetta che sorga la luna: allora vedrò le briciole di pane che ho sparso; ci mostreranno la via di casa.""",31,7,436,0.125,54.5
2,9,"La luna sorse, ma quando Hänsel cercò le briciole non le trovò: i mille e mille uccellini del bosco le avevano viste e le avevano beccate.",29,7,211,0.125,26.375
2,9,"Hänsel pensava di trovare ugualmente la via di casa e si portava dietro Gretel, ma ben presto si persero nel grande bosco; camminarono tutta la notte e tutto il giorno, poi si addormentarono per la gran stanchezza.",41,8,445,0.125,55.625
2,9,"Poi camminarono ancora tutta una giornata, ma non riuscirono a uscire dal bosco, e avevano tanta fame, perché‚ non avevano nient'altro da mangiare che un po' di bacche trovate per terra.",36,9,396,0.125,49.5
2,10,"Il terzo giorno, quand'ebbero camminato fino a mezzogiorno, giunsero a una casina fatta di pane e ricoperta di focaccia, con le finestre di zucchero trasparente.",29,5,226,0.25,56.5
2,10,"""Ci siederemo qui e mangeremo a sazietà,"" disse Hänsel.",13,3,43,0.25,10.75
2,10,"""Io mangerò un pezzo di tetto; tu, Gretel, mangia un pezzo di finestra: è dolce.""",22,5,231,0.25,57.75
2,10,"Quando Gretel incominciò a rosicchiare lo zucchero, una voce sottile gridò dall'interno:""Chi mi mangia la casinazuccherosa e sopraffina?""",24,6,234,0.25,58.5
2,11,"I bambini risposero:""E' il vento che piega ogni stelo,il bel bambino venuto dal cielo.""",22,5,211,1.0,211.0
2,12,E continuarono a mangiare.,5,2,7,0.125,0.875
2,12,Gretel tirò fuori tutto un vetro rotondo e Hänsel staccò un enorme pezzo di focaccia dal tetto.,18,2,153,0.125,19.125
2,12,Ma d'un tratto la porta della casa si aprì e una vecchia decrepita venne fuori piano piano.,18,3,153,0.125,19.125
2,12,Hänsel e Gretel si spaventarono tanto che lasciarono cadere quello che avevano in mano.,15,4,92,0.125,11.5
2,12,"Ma la vecchia scosse il capo e disse: ""Ah, cari bambini, come siete giunti fin qui?",21,7,135,0.125,16.875
2,12,"Venite dentro con me, siete i benvenuti.""",10,2,45,0.125,5.625
2,12,Prese entrambi per mano e li condusse nella sua casetta.,11,3,55,0.125,6.875
2,12,"Fu loro servita una buona cena, latte e frittelle, mele e noci; poi furono preparati due bei lettini bianchi, e Hänsel e Gretel si coricarono e pensavano di essere in Paradiso.",36,10,596,0.125,74.5
2,13,"Ma la vecchia era una strega cattiva che attendeva con impazienza l'arrivo dei bambini e, per attirarli, aveva costruito la casetta di pane.",26,7,325,0.125,40.625
2,13,"Quando un bambino cadeva nelle sue mani, lo uccideva, lo cucinava e lo mangiava; e per lei quello era un giorno di festa.",27,8,351,0.125,43.875
2,13,Era proprio felice che Hänsel e Gretel fossero capitati lì.,11,3,30,0.125,3.75
