tale_id;num_episodes;num_sentences;num_clauses;num_words;avg_sentences/episode;avg_clauses/sentence;avg_words/clause;avg_episode_length;avg_sentence_length;avg_clause_length;avg_dep_distance_clause;avg_dep_distance_sentence;avg_dep_distance_episode;Average_Eventfulness;Average_I;CLI;Average_homotethy;D_h
1.0;7.0;46.0;466.0;2726.0;6.5714285714;10.1304347826;5.8497854077;340.75;59.2608695652;5.8497854077;0.2575107296;2.6086956522;15.0;0.1739130435;0.4536862004;5.7567282322;7.5172162539;-0.5599732160768816
2.0;12.0;49.0;514.0;3258.0;4.0833333333;10.4897959184;6.3385214008;250.6153846154;66.4897959184;6.3385214008;0.373540856;3.9183673469;14.7692307692;0.2653061224;1.0395668471;5.6080622348;6.9705502175000005;-0.6144015155373818
3.0;7.0;101.0;528.0;3126.0;14.4285714286;5.2277227723;5.9204545455;390.75;30.9504950495;5.9204545455;0.1761363636;0.9207920792;11.625;0.0792079208;0.0729340261;5.3288511951;8.525582915466666;-0.5645202488388027
4.0;20.0;107.0;1036.0;6342.0;5.35;9.6822429907;6.1216216216;302.0;59.2710280374;6.1216216216;2.2133204633;21.4299065421;109.1904761905;0.1962616822;4.2058695083;6.1264888564;7.0512882041000005;-0.5817772126899332
5.0;10.0;40.0;480.0;2992.0;4.0;12.0;6.2333333333;272.0;74.8;6.2333333333;1.4;16.8;61.0909090909;0.275;4.62;7.3236918383;7.411111111099999;-0.6116530212963158
6.0;12.0;150.0;1252.0;7718.0;12.5;8.3466666667;6.1645367412;593.6923076923;51.4533333333;6.1645367412;0.2372204473;1.98;22.8461538462;0.0866666667;0.1716;5.7021159154;9.0037344693;-0.5189180208161405
7.0;19.0;128.0;1186.0;6914.0;6.7368421053;9.265625;5.8296795953;345.7;54.015625;5.8296795953;0.3086003373;2.859375;18.3;0.15625;0.4467773438;5.9735310345;7.277382233533333;-0.5641820782322245
8.0;18.0;136.0;1178.0;7284.0;7.5555555556;8.6617647059;6.1833616299;383.3684210526;53.5588235294;6.1833616299;0.460950764;3.9926470588;28.5789473684;0.1397058824;0.5577962803;5.9269364162;7.4668939638;-0.55171373805451
9.0;6.0;75.0;704.0;4290.0;12.5;9.3866666667;6.09375;612.8571428571;57.2;6.09375;1.1590909091;10.88;116.5714285714;0.0933333333;1.0154666667;6.0627702703;9.326805555566667;-0.511154312283997
10.0;20.0;108.0;978.0;5682.0;5.4;9.0555555556;5.8098159509;270.5714285714;52.6111111111;5.8098159509;0.0961145194;0.8703703704;4.4761904762;0.1944444444;0.1692386831;6.1736526946;6.7551238355;-0.5914765533148084
