tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,4,70,758,5262,1052.4,75.17142857142858,6.941952506596306,1.5013192612137203,16.257142857142856,227.6,0.07142857142857142,1.1612244897959183,8.334897777777776
2,4,70,352,2368,473.6,33.82857142857143,6.7272727272727275,1.78125,8.957142857142857,125.4,0.07142857142857142,0.639795918367347,7.307738478027865
3,21,78,642,4368,198.54545454545453,56.0,6.803738317757009,0.48286604361370716,3.9743589743589745,14.090909090909092,0.28205128205128205,1.1209730440499672,8.63067160232681
4,1,22,250,1900,950.0,86.36363636363636,7.6,0.304,3.4545454545454546,38.0,0.09090909090909091,0.3140495867768595,7.995035460992906
5,72,125,674,4398,60.24657534246575,35.184,6.525222551928783,0.4970326409495549,2.68,4.589041095890411,0.584,1.56512,7.293178212585932
6,12,203,1290,8314,639.5384615384615,40.95566502463054,6.444961240310078,1.0604651162790697,6.738916256157635,105.23076923076923,0.06403940886699508,0.4315562134485185,6.375625562556252
7,2,26,165,1146,382.0,44.07692307692308,6.945454545454545,2.327272727272727,14.76923076923077,128.0,0.11538461538461539,1.7041420118343198,7.464166666666667
8,5,67,456,3432,572.0,51.223880597014926,7.526315789473684,0.6798245614035088,4.626865671641791,51.666666666666664,0.08955223880597014,0.4143461795500111,9.064821066846726
9,9,156,1023,6862,686.2,43.98717948717949,6.70772238514174,0.37927663734115347,2.4871794871794872,38.8,0.0641025641025641,0.15943458251150558,7.255903443379484
10,2,36,255,1750,583.3333333333334,48.611111111111114,6.862745098039215,0.6392156862745098,4.527777777777778,54.333333333333336,0.08333333333333333,0.37731481481481477,7.647798408488061
11,8,62,501,3712,412.44444444444446,59.87096774193548,7.409181636726547,1.5389221556886228,12.435483870967742,85.66666666666667,0.14516129032258066,1.8051508844953175,7.90335
12,5,59,371,2410,401.6666666666667,40.847457627118644,6.495956873315364,0.5013477088948787,3.152542372881356,31.0,0.1016949152542373,0.32059752944556164,8.400127388535026
13,0,70,504,3450,3450.0,49.285714285714285,6.845238095238095,0.4166666666666667,3.0,210.0,0.014285714285714285,0.04285714285714286,7.800693000693002
,,,,,,,,,,,,,
