tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,37,63,295,2392,62.94736842105263,37.96825396825397,8.108474576271187,0.061016949152542375,0.2857142857142857,0.47368421052631576,0.6031746031746031,0.17233560090702946,16.857215650591446
2,34,61,311,2254,64.4,36.950819672131146,7.247588424437299,0.7717041800643086,3.9344262295081966,6.857142857142857,0.5737704918032787,2.2574576726686373,16.223658536585372
3,17,30,139,1138,63.22222222222222,37.93333333333333,8.18705035971223,0.4172661870503597,1.9333333333333333,3.2222222222222223,0.6,1.16,15.663703703703703
4,27,47,201,1758,62.785714285714285,37.40425531914894,8.746268656716419,0.05970149253731343,0.2553191489361702,0.42857142857142855,0.5957446808510638,0.15210502489814393,17.62378920953576
5,25,46,201,1756,67.53846153846153,38.17391304347826,8.7363184079602,0.04975124378109453,0.21739130434782608,0.38461538461538464,0.5652173913043478,0.12287334593572778,15.768147174770032
6,29,60,228,1842,61.4,30.7,8.078947368421053,0.06578947368421052,0.25,0.5,0.5,0.125,14.485679314565488
7,22,76,371,2684,116.69565217391305,35.31578947368421,7.234501347708895,0.016172506738544475,0.07894736842105263,0.2608695652173913,0.3026315789473684,0.023891966759002767,12.724839255499152
8,23,38,135,1032,43.0,27.157894736842106,7.644444444444445,8.296296296296296,29.473684210526315,46.666666666666664,0.631578947368421,18.614958448753463,16.19460869565217
9,30,54,218,1874,60.45161290322581,34.7037037037037,8.596330275229358,4.284403669724771,17.296296296296298,30.129032258064516,0.5740740740740741,9.929355281207133,16.964449818621528
10,2,3,15,118,39.333333333333336,39.333333333333336,7.866666666666666,17.066666666666666,85.33333333333333,85.33333333333333,1.0,85.33333333333333,20.99034482758621
11,36,72,317,2392,64.64864864864865,33.22222222222222,7.545741324921136,4.214511041009464,18.555555555555557,36.108108108108105,0.5138888888888888,9.535493827160494,16.557292659675884
12,13,20,85,676,48.285714285714285,33.8,7.952941176470588,6.211764705882353,26.4,37.714285714285715,0.7,18.479999999999997,16.20190476190476
13,12,32,175,1538,118.3076923076923,48.0625,8.788571428571428,1.5771428571428572,8.625,21.23076923076923,0.40625,3.50390625,18.14904899135446
14,23,40,177,1364,56.833333333333336,34.1,7.706214689265536,0.2033898305084746,0.9,1.5,0.6,0.54,16.579706362153335
15,13,30,128,1084,77.42857142857143,36.13333333333333,8.46875,2.2578125,9.633333333333333,20.642857142857142,0.4666666666666667,4.495555555555556,17.182370062370058
16,10,20,99,824,74.9090909090909,41.2,8.323232323232324,0.13131313131313133,0.65,1.1818181818181819,0.55,0.35750000000000004,17.955388739946383
17,26,44,191,1600,59.25925925925926,36.36363636363637,8.37696335078534,4.560209424083769,19.795454545454547,32.25925925925926,0.6136363636363636,12.147210743801654,16.915363128491617
18,16,45,179,1324,77.88235294117646,29.42222222222222,7.396648044692737,2.8659217877094973,11.4,30.176470588235293,0.37777777777777777,4.306666666666667,15.07070707070707
19,13,18,90,830,59.285714285714285,46.111111111111114,9.222222222222221,1.011111111111111,5.055555555555555,6.5,0.7777777777777778,3.9320987654320985,21.463517060367455
20,9,15,64,592,59.2,39.46666666666667,9.25,1.0,4.266666666666667,6.4,0.6666666666666666,2.844444444444444,15.299531772575254
21,23,68,327,2634,109.75,38.73529411764706,8.055045871559633,0.6452599388379205,3.1029411764705883,8.791666666666666,0.35294117647058826,1.0951557093425606,18.1722735042735
22,16,31,142,1278,75.17647058823529,41.225806451612904,9.0,0.31690140845070425,1.4516129032258065,2.6470588235294117,0.5483870967741935,0.7960457856399583,20.22971631205674
23,3,3,9,78,19.5,26.0,8.666666666666666,25.77777777777778,77.33333333333333,58.0,1.3333333333333333,103.1111111111111,18.508837209302325
24,9,10,48,388,38.8,38.8,8.083333333333334,10.541666666666666,50.6,50.6,1.0,50.6,20.340529100529107
25,16,35,153,1164,68.47058823529412,33.25714285714286,7.607843137254902,0.08496732026143791,0.37142857142857144,0.7647058823529411,0.4857142857142857,0.18040816326530612,18.67267822736031
26,16,29,207,1526,89.76470588235294,52.62068965517241,7.371980676328502,0.391304347826087,2.793103448275862,4.764705882352941,0.5862068965517241,1.637336504161712,14.307866473149488
27,4,10,60,490,98.0,49.0,8.166666666666666,11.1,66.6,133.2,0.5,33.3,16.31411255411255
,,,,,,,,,,,,,
