tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety
1.0,37.0,63.0,295.0,2392.0,62.94736842105263,37.96825396825397,8.108474576271187,0.0610169491525423,0.2857142857142857,0.4736842105263157,0.6031746031746031,0.1723356009070294,16.857215650591446,-0.3640750878731629,3.048118821000177
2.0,34.0,61.0,311.0,2254.0,64.4,36.950819672131146,7.247588424437299,0.7717041800643086,3.9344262295081966,6.857142857142857,0.5737704918032787,2.2574576726686373,16.223658536585372,-0.3742640292085648,2.74355492025496
3.0,17.0,30.0,139.0,1138.0,63.22222222222222,37.93333333333333,8.18705035971223,0.4172661870503597,1.9333333333333331,3.2222222222222223,0.6,1.16,15.663703703703703,-0.36320512009869166,3.1614896318239527
4.0,27.0,47.0,201.0,1758.0,62.785714285714285,37.40425531914894,8.746268656716419,0.0597014925373134,0.2553191489361702,0.4285714285714285,0.5957446808510638,0.1521050248981439,17.62378920953576,-0.35843690508949866,3.2999266865044365
5.0,25.0,46.0,201.0,1756.0,67.53846153846153,38.17391304347826,8.7363184079602,0.0497512437810945,0.217391304347826,0.3846153846153846,0.5652173913043478,0.1228733459357277,15.768147174770032,-0.35642788118026947,3.293281418991997
6.0,29.0,60.0,228.0,1842.0,61.4,30.7,8.078947368421053,0.0657894736842105,0.25,0.5,0.5,0.125,14.485679314565488,-0.371163530079877,3.0402298850574723
7.0,22.0,76.0,371.0,2684.0,116.69565217391305,35.31578947368421,7.234501347708895,0.0161725067385444,0.0789473684210526,0.2608695652173913,0.3026315789473684,0.0238919667590027,12.724839255499152,-0.364739925007653,2.690275216342744
8.0,23.0,38.0,135.0,1032.0,43.0,27.157894736842103,7.644444444444445,8.296296296296296,29.473684210526315,46.66666666666666,0.631578947368421,18.614958448753463,16.19460869565217,-0.38832170220658685,2.9632906743509335
9.0,30.0,54.0,218.0,1874.0,60.45161290322581,34.7037037037037,8.596330275229358,4.284403669724771,17.296296296296298,30.12903225806452,0.5740740740740741,9.929355281207132,16.964449818621528,-0.3627474961325338,3.2348850379431418
10.0,2.0,3.0,15.0,118.0,39.333333333333336,39.333333333333336,7.866666666666666,17.066666666666666,85.33333333333333,85.33333333333333,1.0,85.33333333333333,20.99034482758621,-0.3769955695633844,4.333333333333333
11.0,36.0,72.0,317.0,2392.0,64.64864864864865,33.22222222222222,7.545741324921136,4.214511041009464,18.55555555555556,36.108108108108105,0.5138888888888888,9.535493827160494,16.557292659675884,-0.37357503216016513,2.8321211590139037
12.0,13.0,20.0,85.0,676.0,48.285714285714285,33.8,7.952941176470588,6.211764705882353,26.4,37.71428571428572,0.7,18.48,16.20190476190476,-0.3750818726080955,3.1666666666666665
13.0,12.0,32.0,175.0,1538.0,118.3076923076923,48.0625,8.788571428571428,1.5771428571428572,8.625,21.23076923076923,0.40625,3.50390625,18.14904899135446,-0.33977429289419137,3.370019841269842
14.0,23.0,40.0,177.0,1364.0,56.833333333333336,34.1,7.706214689265536,0.2033898305084746,0.9,1.5,0.6,0.54,16.579706362153335,-0.37373662015709,2.9557520674690902
15.0,13.0,30.0,128.0,1084.0,77.42857142857143,36.13333333333333,8.46875,2.2578125,9.633333333333333,20.642857142857142,0.4666666666666667,4.495555555555556,17.182370062370058,-0.3576963379302878,3.2737446581196576
16.0,10.0,20.0,99.0,824.0,74.9090909090909,41.2,8.323232323232324,0.1313131313131313,0.65,1.181818181818182,0.55,0.3575,17.955388739946383,-0.3561410923334547,3.3025252525252533
17.0,26.0,44.0,191.0,1600.0,59.25925925925926,36.36363636363637,8.37696335078534,4.560209424083769,19.795454545454547,32.25925925925926,0.6136363636363636,12.147210743801654,16.915363128491617,-0.3639110151649785,3.1810523682251435
18.0,16.0,45.0,179.0,1324.0,77.88235294117646,29.42222222222222,7.396648044692737,2.8659217877094973,11.4,30.176470588235293,0.3777777777777777,4.306666666666667,15.07070707070707,-0.3753807594537941,2.829370991102835
19.0,13.0,18.0,90.0,830.0,59.285714285714285,46.11111111111112,9.22222222222222,1.011111111111111,5.055555555555555,6.5,0.7777777777777778,3.9320987654320985,21.46351706036745,-0.35012898534246606,3.636467236467236
20.0,9.0,15.0,64.0,592.0,59.2,39.46666666666667,9.25,1.0,4.266666666666667,6.4,0.6666666666666666,2.844444444444444,15.299531772575254,-0.3539845977578704,3.7262731481481475
21.0,23.0,68.0,327.0,2634.0,109.75,38.73529411764706,8.055045871559633,0.6452599388379205,3.1029411764705883,8.791666666666666,0.3529411764705882,1.0951557093425606,18.1722735042735,-0.35361831361493906,2.9887191680288656
22.0,16.0,31.0,142.0,1278.0,75.17647058823529,41.2258064516129,9.0,0.3169014084507042,1.4516129032258065,2.647058823529412,0.5483870967741935,0.7960457856399583,20.22971631205674,-0.3499060321058076,3.4430656519763745
23.0,3.0,3.0,9.0,78.0,19.5,26.0,8.666666666666666,25.77777777777778,77.33333333333333,58.0,1.3333333333333333,103.1111111111111,18.508837209302325,-0.40526143500678335,4.407407407407407
24.0,9.0,10.0,48.0,388.0,38.8,38.8,8.083333333333334,10.541666666666666,50.6,50.6,1.0,50.6,20.340529100529107,-0.37543161550360776,3.3966049382716057
25.0,16.0,35.0,153.0,1164.0,68.47058823529412,33.25714285714286,7.607843137254902,0.0849673202614379,0.3714285714285714,0.7647058823529411,0.4857142857142857,0.1804081632653061,18.67267822736031,-0.3716180198741756,2.9326019296607533
