tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
1.0,24.0,45.0,238.0,2034.0,81.36,45.2,8.546218487394958,2.5,13.22222222222222,23.8,0.5555555555555556,7.345679012345679,12.5549731471536,-0.3500238319599165,3.2156473700591346,0.3640535679224908,0.4532830839638517,0.3664386656781135,0.9671,1.696,1.0302,1.1785,1.4379
2.0,25.0,43.0,296.0,1640.0,63.07692307692308,38.13953488372093,5.54054054054054,0.0236486486486486,0.1627906976744186,0.2692307692307692,0.6046511627906976,0.0984315846403461,9.513858695652168,-0.402825849732193,2.1706945317410438,0.362562640645112,0.7587154772945511,0.4494885330805659,0.9574,0.6279,0.7636,1.2424,0.8121
3.0,38.0,67.0,372.0,2824.0,72.41025641025641,42.149253731343286,7.591397849462366,0.0188172043010752,0.1044776119402985,0.1794871794871795,0.582089552238806,0.060815326353308,10.85209155485398,-0.3640601683126791,2.851122852066774,0.4138100782838252,0.8323616122459763,0.4611508113416565,0.9446,1.1829,1.2541,1.2417,1.384
4.0,22.0,33.0,146.0,1196.0,52.0,36.24242424242424,8.191780821917808,0.2328767123287671,1.0303030303030305,1.4782608695652173,0.696969696969697,0.7180899908172635,10.435817490494294,-0.3688041499590664,3.162377196623772,0.5402934762782015,0.7728855737406627,0.4558267513536828,0.9236,0.6419,1.2801,0.6951,1.0217
5.0,20.0,30.0,168.0,1498.0,71.33333333333333,49.93333333333333,8.916666666666666,0.2202380952380952,1.2333333333333334,1.761904761904762,0.7,0.8633333333333333,13.107579908675795,-0.346832189546924,3.4136904761904763,0.327343588799271,1.2469853760734015,0.5983249640285636,0.9381,1.2895,0.9321,0.9341,0.8878
6.0,15.0,20.0,96.0,822.0,51.375,41.1,8.5625,2.25,10.8,13.5,0.8,8.64,10.473369565217386,-0.3620472626249547,3.380555555555556,0.7809050650696759,1.1763230694525268,0.3482578704645234,0.9643,0.9887,1.1175,0.8022,1.4491
7.0,28.0,57.0,270.0,1810.0,62.41379310344828,31.75438596491228,6.703703703703703,1.2148148148148148,5.754385964912281,11.310344827586206,0.5087719298245614,2.927670052323792,13.636780487804876,-0.3869571844194068,2.554334911352455,0.3360651448881038,0.8703629294422263,0.3836507828985385,,,,,
8.0,15.0,27.0,156.0,1132.0,70.75,41.92592592592592,7.256410256410256,1.3846153846153846,8.0,13.5,0.5925925925925926,4.7407407407407405,12.227027027027027,-0.3687790144057414,2.8352801519468187,0.8584516155748585,0.5252097601806989,0.7945972566443872,,,,,
9.0,23.0,32.0,166.0,1576.0,65.66666666666667,49.25,9.49397590361446,0.0421686746987951,0.21875,0.2916666666666667,0.75,0.1640625,14.134097902097906,-0.3441952959521588,3.616509516326175,0.5265878896976661,0.8716724317156422,0.7133606987497633,,,,,
10.0,40.0,101.0,582.0,3554.0,86.6829268292683,35.18811881188119,6.106529209621993,0.5567010309278351,3.207920792079208,7.902439024390244,0.4059405940594059,1.302225272032154,6.023623649078193,-0.387307294725317,2.2795575176074307,0.600490841716644,1.1026212407147136,0.8291278315049829,,,,,
11.0,14.0,21.0,102.0,810.0,54.0,38.57142857142857,7.9411764705882355,2.117647058823529,10.285714285714286,14.4,0.7142857142857143,7.346938775510205,12.229354838709671,-0.3687989324651639,3.1428571428571423,0.3489085706354859,0.7722386732699819,0.4468778647765662,,,,,
12.0,13.0,26.0,146.0,956.0,68.28571428571429,36.76923076923077,6.5479452054794525,1.4794520547945205,8.307692307692308,15.428571428571429,0.5384615384615384,4.4733727810650885,10.28554545454545,-0.3831713961377774,2.5893923428170003,0.3334901122235786,0.5280223279265004,0.6512411785073425,,,,,
13.0,38.0,60.0,324.0,2480.0,63.58974358974359,41.333333333333336,7.654320987654321,0.1141975308641975,0.6166666666666667,0.9487179487179488,0.65,0.4008333333333334,10.42294220665499,-0.3665166192845765,2.896978557504873,0.7619944056835612,0.9192354650476854,0.5215161108100137,,,,,
14.0,14.0,25.0,132.0,896.0,59.73333333333333,35.84,6.787878787878788,1.6363636363636365,8.64,14.4,0.6,5.184,10.735323383084571,-0.383072703525688,2.6873737373737376,0.8093774682506455,0.4934276457367825,0.5778145270224623,,,,,
15.0,13.0,26.0,188.0,1110.0,79.28571428571429,42.69230769230769,5.904255319148936,2.2180851063829787,16.03846153846154,29.785714285714285,0.5384615384615384,8.636094674556213,9.88098484848485,-0.3875247838125388,2.34506273867976,0.7244857707867409,0.8219715981812309,0.5548447445170771,,,,,
16.0,22.0,46.0,280.0,1824.0,79.30434782608695,39.65217391304348,6.514285714285714,1.7821428571428573,10.847826086956522,21.695652173913043,0.5,5.423913043478261,13.240048721071862,-0.3786578320475818,2.4915584415584413,0.5537713839515384,0.3959218768512194,0.5707398562764959,,,,,
17.0,28.0,53.0,246.0,1710.0,58.96551724137931,32.264150943396224,6.951219512195122,3.0121951219512195,13.9811320754717,25.55172413793104,0.5471698113207547,7.650053399786401,12.04061935483871,-0.3841075355240025,2.6540314392362254,0.7059740958507665,0.8927515560929262,0.5743136414998199,,,,,
