tale_id;beauty_score;num_episodes_value;num_sentences_value;num_sentences_min_ks_stat;num_clauses_value;num_clauses_best_H;num_clauses_min_ks_stat;num_words_value;num_words_best_H;num_words_min_ks_stat;avg_episode_length_value;avg_episode_length_best_H;avg_episode_length_min_ks_stat;avg_sentence_length_value;avg_sentence_length_best_H;avg_sentence_length_min_ks_stat;avg_clause_length_value;avg_clause_length_best_H;avg_clause_length_min_ks_stat;avg_dep_distance_clause_value;avg_dep_distance_clause_best_H;avg_dep_distance_clause_min_ks_stat;avg_dep_distance_sentence_value;avg_dep_distance_sentence_best_H;avg_dep_distance_sentence_min_ks_stat;avg_dep_distance_episode_value;avg_dep_distance_episode_best_H;avg_dep_distance_episode_min_ks_stat;Average_Eventfulness_value;Average_Eventfulness_best_H;Average_Eventfulness_min_ks_stat;Average_I_value;Average_I_best_H;Average_I_min_ks_stat;ks_stat_num_episodes_vs_num_sentences;ks_stat_num_episodes_vs_num_clauses;ks_stat_num_episodes_vs_num_words;ks_stat_num_episodes_vs_avg_episode_length;ks_stat_num_episodes_vs_avg_sentence_length;ks_stat_num_episodes_vs_avg_clause_length;ks_stat_num_episodes_vs_avg_dep_distance_clause;ks_stat_num_episodes_vs_avg_dep_distance_sentence;ks_stat_num_episodes_vs_avg_dep_distance_episode;ks_stat_num_episodes_vs_Average_Eventfulness;ks_stat_num_episodes_vs_Average_I;ks_stat_num_sentences_vs_num_clauses;ks_stat_num_sentences_vs_num_words;ks_stat_num_sentences_vs_avg_episode_length;ks_stat_num_sentences_vs_avg_sentence_length;ks_stat_num_sentences_vs_avg_clause_length;ks_stat_num_sentences_vs_avg_dep_distance_clause;ks_stat_num_sentences_vs_avg_dep_distance_sentence;ks_stat_num_sentences_vs_avg_dep_distance_episode;ks_stat_num_sentences_vs_Average_Eventfulness;ks_stat_num_sentences_vs_Average_I;ks_stat_num_clauses_vs_num_words;ks_stat_num_clauses_vs_avg_episode_length;ks_stat_num_clauses_vs_avg_sentence_length;ks_stat_num_clauses_vs_avg_clause_length;ks_stat_num_clauses_vs_avg_dep_distance_clause;ks_stat_num_clauses_vs_avg_dep_distance_sentence;ks_stat_num_clauses_vs_avg_dep_distance_episode;ks_stat_num_clauses_vs_Average_Eventfulness;ks_stat_num_clauses_vs_Average_I;ks_stat_num_words_vs_avg_episode_length;ks_stat_num_words_vs_avg_sentence_length;ks_stat_num_words_vs_avg_clause_length;ks_stat_num_words_vs_avg_dep_distance_clause;ks_stat_num_words_vs_avg_dep_distance_sentence;ks_stat_num_words_vs_avg_dep_distance_episode;ks_stat_num_words_vs_Average_Eventfulness;ks_stat_num_words_vs_Average_I;ks_stat_avg_episode_length_vs_avg_sentence_length;ks_stat_avg_episode_length_vs_avg_clause_length;ks_stat_avg_episode_length_vs_avg_dep_distance_clause;ks_stat_avg_episode_length_vs_avg_dep_distance_sentence;ks_stat_avg_episode_length_vs_avg_dep_distance_episode;ks_stat_avg_episode_length_vs_Average_Eventfulness;ks_stat_avg_episode_length_vs_Average_I;ks_stat_avg_sentence_length_vs_avg_clause_length;ks_stat_avg_sentence_length_vs_avg_dep_distance_clause;ks_stat_avg_sentence_length_vs_avg_dep_distance_sentence;ks_stat_avg_sentence_length_vs_avg_dep_distance_episode;ks_stat_avg_sentence_length_vs_Average_Eventfulness;ks_stat_avg_sentence_length_vs_Average_I;ks_stat_avg_clause_length_vs_avg_dep_distance_clause;ks_stat_avg_clause_length_vs_avg_dep_distance_sentence;ks_stat_avg_clause_length_vs_avg_dep_distance_episode;ks_stat_avg_clause_length_vs_Average_Eventfulness;ks_stat_avg_clause_length_vs_Average_I;ks_stat_avg_dep_distance_clause_vs_avg_dep_distance_sentence;ks_stat_avg_dep_distance_clause_vs_avg_dep_distance_episode;ks_stat_avg_dep_distance_clause_vs_Average_Eventfulness;ks_stat_avg_dep_distance_clause_vs_Average_I;ks_stat_avg_dep_distance_sentence_vs_avg_dep_distance_episode;ks_stat_avg_dep_distance_sentence_vs_Average_Eventfulness;ks_stat_avg_dep_distance_sentence_vs_Average_I;ks_stat_avg_dep_distance_episode_vs_Average_Eventfulness;ks_stat_avg_dep_distance_episode_vs_Average_I;ks_stat_Average_Eventfulness_vs_Average_I
11;8.4;7;54;;412;;0.12;2538;0.4;0.12;317.25;0.3;0.24;47;0.3;0.1944444444;6.1601941748;0.3;0.4615384615;0.8883495146;0.2;0.32;6.7777777778;0.1;0.36;45.75;0.5;0.24;0.1481481481;0.2;0.08;1.0041152263;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
12;8.24;9;57;;644;;0.12;3790;0.4;0.12;379;0.3;0.24;66.4912280702;0.3;0.1944444444;5.8850931677;0.3;0.4615384615;0.7655279503;0.2;0.32;8.649122807;0.1;0.36;49.3;0.5;0.24;0.1754385965;0.2;0.08;1.5173899661;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
13;8.08;2;13;;114;;0.12;854;0.4;0.12;284.6666666667;0.3;0.24;65.6923076923;0.3;0.1944444444;7.4912280702;0.3;0.4615384615;3.0964912281;0.2;0.32;27.1538461538;0.1;0.36;117.6666666667;0.5;0.24;0.2307692308;0.2;0.08;6.2662721893;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
14;7.92;7;52;;532;;0.12;3400;0.4;0.12;425;0.3;0.24;65.3846153846;0.3;0.1944444444;6.3909774436;0.3;0.4615384615;2.7481203008;0.2;0.32;28.1153846154;0.1;0.36;182.75;0.5;0.24;0.1538461538;0.2;0.08;4.325443787;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
15;7.76;3;143;;1212;;0.12;7338;0.4;0.12;1834.5;0.3;0.24;51.3146853147;0.3;0.1944444444;6.0544554455;0.3;0.4615384615;0.6485148515;0.2;0.32;5.4965034965;0.1;0.36;196.5;0.5;0.24;0.027972028;0.2;0.08;0.1537483496;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
16;7.6;9;25;;352;;0.12;1920;0.4;0.12;192;0.3;0.24;76.8;0.3;0.1944444444;5.4545454545;0.3;0.4615384615;1.1107954545;0.2;0.32;15.64;0.1;0.36;39.1;0.5;0.24;0.4;0.2;0.08;6.256;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
17;7.44;4;115;;932;;0.12;5642;0.4;0.12;1128.4;0.3;0.24;49.0608695652;0.3;0.1944444444;6.0536480687;0.3;0.4615384615;0.3991416309;0.2;0.32;3.2347826087;0.1;0.36;74.4;0.5;0.24;0.0434782609;0.2;0.08;0.1406427221;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
18;7.28;22;122;;1256;;0.12;7358;0.4;0.12;319.9130434783;0.3;0.24;60.3114754098;0.3;0.1944444444;5.8582802548;0.3;0.4615384615;0.3296178344;0.2;0.32;3.393442623;0.1;0.36;18;0.5;0.24;0.1885245902;0.2;0.08;0.6397473797;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
19;7.12;3;57;;538;;0.12;3036;0.4;0.12;759;0.3;0.24;53.2631578947;0.3;0.1944444444;5.6431226766;0.3;0.4615384615;1.7453531599;0.2;0.32;16.4736842105;0.1;0.36;234.75;0.5;0.24;0.0701754386;0.2;0.08;1.1560480148;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
20;6.96;6;33;;238;;0.12;1278;0.4;0.12;182.5714285714;0.3;0.24;38.7272727273;0.3;0.1944444444;5.3697478992;0.3;0.4615384615;1.3907563025;0.2;0.32;10.0303030303;0.1;0.36;47.2857142857;0.5;0.24;0.2121212121;0.2;0.08;2.1276400367;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
21;6.8;29;95;;940;;0.12;5738;0.4;0.12;191.2666666667;0.3;0.24;60.4;0.3;0.1944444444;6.1042553191;0.3;0.4615384615;2.9744680851;0.2;0.32;29.4315789474;0.1;0.36;93.2;0.5;0.24;0.3157894737;0.2;0.08;9.2941828255;0.1;0.4;0.12;0.16;0.12;0.28;0.3066666667;0.5215384615;0.44;0.44;0.32;0.2;0.52;0.08;0.08;0.28;0.1866666667;0.4830769231;0.44;0.44;0.32;0.2;0.44;0.08;0.28;0.1988888889;0.48;0.44;0.44;0.28;0.2;0.44;0.28;0.1866666667;0.48;0.44;0.44;0.28;0.2;0.44;0.4666666667;0.6;0.24;0.36;0.16;0.32;0.44;0.6282051282;0.4788888889;0.5711111111;0.4511111111;0.2788888889;0.5866666667;0.5215384615;0.52;0.56;0.4830769231;0.6015384615;0.16;0.4;0.28;0.44;0.4;0.32;0.44;0.24;0.52;0.36
