Tale;Fractal Dimension (Letters);Fractal Dimension (Words);Fractal Dimension (Clauses);Fractal Dimension (Sentences);Fractal Dimension (Episodes)
Tale 16;0.9973;0.8752;1.0778;1.2055;0.5518
Tale 17;0.9877;1.0997;0.8881;1.206;0.9896
