tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,6,29,189,1592,227.42857142857142,54.89655172413793,8.423280423280424,0.671957671957672,4.379310344827586,18.142857142857142,0.2413793103448276,1.057074910820452,11.038989598811291
2,11,74,411,3190,265.8333333333333,43.108108108108105,7.761557177615572,0.8418491484184915,4.675675675675675,28.833333333333332,0.16216216216216217,0.758217677136596,11.212188200149367
3,5,27,145,1112,185.33333333333334,41.18518518518518,7.6689655172413795,2.613793103448276,14.037037037037036,63.166666666666664,0.2222222222222222,3.119341563786008,10.178683651804668
4,7,44,274,2066,258.25,46.95454545454545,7.54014598540146,1.1204379562043796,6.9772727272727275,38.375,0.18181818181818182,1.2685950413223142,11.185671641791046
5,9,37,199,1492,149.2,40.32432432432432,7.49748743718593,0.24120603015075376,1.2972972972972974,4.8,0.2702702702702703,0.35062089116143175,10.631487999999997
6,7,48,302,2276,284.5,47.416666666666664,7.5364238410596025,0.2582781456953642,1.625,9.75,0.16666666666666666,0.2708333333333333,10.950502092050211
7,10,42,310,2444,222.1818181818182,58.19047619047619,7.883870967741935,1.2,8.857142857142858,33.81818181818182,0.2619047619047619,2.3197278911564627,11.956230769230764
8,8,47,270,2118,235.33333333333334,45.06382978723404,7.844444444444444,0.45555555555555555,2.617021276595745,13.666666666666666,0.19148936170212766,0.5011317338162065,12.066216216216215
9,8,34,185,1490,165.55555555555554,43.8235294117647,8.054054054054054,5.227027027027027,28.441176470588236,107.44444444444444,0.2647058823529412,7.528546712802768,12.313354430379746
10,9,49,270,1968,196.8,40.16326530612245,7.288888888888889,0.4666666666666667,2.5714285714285716,12.6,0.20408163265306123,0.5247813411078718,11.648260869565217
11,4,20,131,1046,209.2,52.3,7.984732824427481,0.8015267175572519,5.25,21.0,0.25,1.3125,11.231625835189313
12,8,43,243,1788,198.66666666666666,41.58139534883721,7.3580246913580245,1.2962962962962963,7.325581395348837,35.0,0.20930232558139536,1.5332612222823148,11.641076716016151
13,5,25,154,1202,200.33333333333334,48.08,7.805194805194805,2.1493506493506493,13.24,55.166666666666664,0.24,3.1776,11.47217221135029
14,3,27,167,1262,315.5,46.74074074074074,7.5568862275449105,0.7964071856287425,4.925925925925926,33.25,0.14814814814814814,0.7297668038408778,11.218983050847452
15,3,11,60,462,115.5,42.0,7.7,3.85,21.0,57.75,0.36363636363636365,7.636363636363637,11.472199999999997
16,12,71,422,3300,253.84615384615384,46.478873239436616,7.819905213270142,0.5616113744075829,3.3380281690140845,18.23076923076923,0.18309859154929578,0.6111882562983535,12.187559395248375
17,9,51,303,2394,239.4,46.94117647058823,7.900990099009901,0.6963696369636964,4.137254901960785,21.1,0.19607843137254902,0.8112264513648597,11.787944664031617
18,12,65,406,3200,246.15384615384616,49.23076923076923,7.8817733990147785,1.1995073891625616,7.492307692307692,37.46153846153846,0.2,1.4984615384615385,11.483090638930165
19,4,18,124,906,181.2,50.333333333333336,7.306451612903226,1.403225806451613,9.666666666666666,34.8,0.2777777777777778,2.685185185185185,13.450861618798953
20,2,19,112,842,280.6666666666667,44.31578947368421,7.517857142857143,0.9375,5.526315789473684,35.0,0.15789473684210525,0.8725761772853184,10.598435754189943
,,,,,,,,,,,,,
