tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety
1.0,4.0,70.0,758.0,5262.0,1052.4,75.17142857142858,6.941952506596306,1.5013192612137205,16.257142857142856,227.6,0.0714285714285714,1.1612244897959183,8.334897777777776,-0.3263988064386755,2.947072496544792
2.0,4.0,70.0,352.0,2368.0,473.6,33.82857142857143,6.727272727272728,1.78125,8.957142857142857,125.4,0.0714285714285714,0.639795918367347,7.307738478027865,-0.3555570373467766,2.893127705627706
3.0,21.0,78.0,642.0,4368.0,198.54545454545453,56.0,6.803738317757009,0.4828660436137071,3.9743589743589753,14.090909090909092,0.282051282051282,1.1209730440499672,8.63067160232681,-0.35116958168222706,2.510424155283969
4.0,1.0,22.0,250.0,1900.0,950.0,86.36363636363636,7.6,0.304,3.4545454545454546,38.0,0.0909090909090909,0.3140495867768595,7.995035460992906,-0.3161058172855618,5.12630303030303
5.0,72.0,125.0,674.0,4398.0,60.24657534246575,35.184,6.525222551928783,0.4970326409495549,2.68,4.589041095890411,0.584,1.56512,7.293178212585932,-0.38743973637198287,2.461770194526871
6.0,12.0,203.0,1290.0,8314.0,639.5384615384615,40.95566502463054,6.444961240310078,1.0604651162790697,6.738916256157635,105.23076923076924,0.064039408866995,0.4315562134485185,6.375625562556252,-0.35185786076243947,2.4011483645405054
7.0,2.0,26.0,165.0,1146.0,382.0,44.07692307692308,6.945454545454545,2.327272727272727,14.76923076923077,128.0,0.1153846153846153,1.7041420118343198,7.464166666666667,-0.34727307445031697,3.563714063714064
8.0,5.0,67.0,456.0,3432.0,572.0,51.223880597014926,7.526315789473684,0.6798245614035088,4.626865671641791,51.66666666666666,0.0895522388059701,0.4143461795500111,9.064821066846726,-0.3321449079716883,3.0893536702452646
9.0,9.0,156.0,1023.0,6862.0,686.2,43.98717948717949,6.70772238514174,0.3792766373411534,2.4871794871794872,38.8,0.0641025641025641,0.1594345825115055,7.255903443379484,-0.34525872496136395,2.5565400350346583
10.0,2.0,36.0,255.0,1750.0,583.3333333333334,48.61111111111112,6.862745098039215,0.6392156862745098,4.527777777777778,54.333333333333336,0.0833333333333333,0.3773148148148147,7.647798408488061,-0.34191546821788027,3.506209150326797
11.0,8.0,62.0,501.0,3712.0,412.44444444444446,59.87096774193548,7.409181636726547,1.5389221556886228,12.435483870967742,85.66666666666667,0.1451612903225806,1.8051508844953172,7.90335,-0.3331518849202381,2.8680810422166414
12.0,5.0,59.0,371.0,2410.0,401.6666666666667,40.84745762711864,6.495956873315364,0.5013477088948787,3.152542372881356,31.0,0.1016949152542373,0.3205975294455616,8.400127388535026,-0.3554975927581487,2.6852909376094534
13.0,0.0,70.0,504.0,3450.0,3450.0,49.285714285714285,6.845238095238095,0.4166666666666667,3.0,210.0,0.0142857142857142,0.0428571428571428,7.800693000693002,-0.32928882235000206,
,,,,,,,,,,,,,,,
