Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 19,0.9718,0.9764,1.1652,1.0723,1.2954
Tale 20,0.9682,0.8553,1.0462,1.4278,1.1192
Tale 21,0.9824,0.9778,1.1860,0.6663,1.9344
Tale 22,0.9734,1.2673,1.0593,0.8084,1.1702
Tale 23,0.9797,0.7404,0.9949,1.0237,0.6023
Tale 24,0.9713,0.7780,1.1684,0.7160,0.9521
Tale 25,0.9664,1.1916,1.0453,0.7935,0.8504
