tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,2,23,146,952,317.3333333333333,41.391304347826086,6.52054794520548,1.8767123287671232,11.91304347826087,91.33333333333333,0.13043478260869565,1.553875236294896,9.13653846153846
2,6,37,243,1838,262.57142857142856,49.67567567567568,7.563786008230453,1.3786008230452675,9.054054054054054,47.857142857142854,0.1891891891891892,1.712929145361578,9.164921465968582
3,2,34,225,1476,492.0,43.411764705882355,6.56,2.2711111111111113,15.029411764705882,170.33333333333334,0.08823529411764706,1.3261245674740485,9.10455813953488
4,1,57,360,2530,1265.0,44.3859649122807,7.027777777777778,0.6111111111111112,3.8596491228070176,110.0,0.03508771929824561,0.13542628501077253,8.324279398762155
5,4,80,489,3458,691.6,43.225,7.071574642126789,0.4723926380368098,2.8875,46.2,0.0625,0.18046875,7.934066570188136
6,5,47,317,2190,365.0,46.59574468085106,6.908517350157728,3.1545741324921135,21.27659574468085,166.66666666666666,0.1276595744680851,2.7161611588954275,8.916725388601037
7,5,55,347,2294,382.3333333333333,41.70909090909091,6.610951008645533,2.7146974063400577,17.12727272727273,157.0,0.10909090909090909,1.8684297520661157,8.707186147186142
8,9,124,892,6214,621.4,50.11290322580645,6.966367713004484,0.32062780269058294,2.306451612903226,28.6,0.08064516129032258,0.1860041623309053,8.514591291061876
9,12,209,1165,7792,599.3846153846154,37.282296650717704,6.688412017167382,0.11158798283261803,0.6220095693779905,10.0,0.06220095693779904,0.03868959043977931,7.39042647994907
10,1,60,495,3832,1916.0,63.86666666666667,7.7414141414141415,1.1292929292929292,9.316666666666666,279.5,0.03333333333333333,0.31055555555555553,7.1150295857988155
11,8,67,461,3356,372.8888888888889,50.08955223880597,7.279826464208243,0.6203904555314533,4.268656716417911,31.77777777777778,0.13432835820895522,0.5734016484740477,8.62848066298342
12,10,83,550,3916,356.0,47.18072289156626,7.12,0.4,2.6506024096385543,20.0,0.13253012048192772,0.35128465669908554,9.224925462134763
,,,,,,,,,,,,,
