tale_id,beauty_score,num_episodes_value,num_episodes_best_H,num_episodes_min_ks_stat,num_sentences_value,num_sentences_best_H,num_sentences_min_ks_stat,num_clauses_value,num_clauses_best_H,num_clauses_min_ks_stat,num_words_value,num_words_best_H,num_words_min_ks_stat,avg_episode_length_value,avg_episode_length_best_H,avg_episode_length_min_ks_stat,avg_sentence_length_value,avg_sentence_length_best_H,avg_sentence_length_min_ks_stat,avg_clause_length_value,avg_clause_length_best_H,avg_clause_length_min_ks_stat,avg_dep_distance_clause_value,avg_dep_distance_clause_best_H,avg_dep_distance_clause_min_ks_stat,avg_dep_distance_sentence_value,avg_dep_distance_sentence_best_H,avg_dep_distance_sentence_min_ks_stat,avg_dep_distance_episode_value,avg_dep_distance_episode_best_H,avg_dep_distance_episode_min_ks_stat,Average_Eventfulness_value,Average_Eventfulness_best_H,Average_Eventfulness_min_ks_stat,Average_I_value,Average_I_best_H,Average_I_min_ks_stat,ks_stat_num_episodes_vs_num_sentences,ks_stat_num_episodes_vs_num_clauses,ks_stat_num_episodes_vs_num_words,ks_stat_num_episodes_vs_avg_episode_length,ks_stat_num_episodes_vs_avg_sentence_length,ks_stat_num_episodes_vs_avg_clause_length,ks_stat_num_episodes_vs_avg_dep_distance_clause,ks_stat_num_episodes_vs_avg_dep_distance_sentence,ks_stat_num_episodes_vs_avg_dep_distance_episode,ks_stat_num_episodes_vs_Average_Eventfulness,ks_stat_num_episodes_vs_Average_I,ks_stat_num_sentences_vs_num_clauses,ks_stat_num_sentences_vs_num_words,ks_stat_num_sentences_vs_avg_episode_length,ks_stat_num_sentences_vs_avg_sentence_length,ks_stat_num_sentences_vs_avg_clause_length,ks_stat_num_sentences_vs_avg_dep_distance_clause,ks_stat_num_sentences_vs_avg_dep_distance_sentence,ks_stat_num_sentences_vs_avg_dep_distance_episode,ks_stat_num_sentences_vs_Average_Eventfulness,ks_stat_num_sentences_vs_Average_I,ks_stat_num_clauses_vs_num_words,ks_stat_num_clauses_vs_avg_episode_length,ks_stat_num_clauses_vs_avg_sentence_length,ks_stat_num_clauses_vs_avg_clause_length,ks_stat_num_clauses_vs_avg_dep_distance_clause,ks_stat_num_clauses_vs_avg_dep_distance_sentence,ks_stat_num_clauses_vs_avg_dep_distance_episode,ks_stat_num_clauses_vs_Average_Eventfulness,ks_stat_num_clauses_vs_Average_I,ks_stat_num_words_vs_avg_episode_length,ks_stat_num_words_vs_avg_sentence_length,ks_stat_num_words_vs_avg_clause_length,ks_stat_num_words_vs_avg_dep_distance_clause,ks_stat_num_words_vs_avg_dep_distance_sentence,ks_stat_num_words_vs_avg_dep_distance_episode,ks_stat_num_words_vs_Average_Eventfulness,ks_stat_num_words_vs_Average_I,ks_stat_avg_episode_length_vs_avg_sentence_length,ks_stat_avg_episode_length_vs_avg_clause_length,ks_stat_avg_episode_length_vs_avg_dep_distance_clause,ks_stat_avg_episode_length_vs_avg_dep_distance_sentence,ks_stat_avg_episode_length_vs_avg_dep_distance_episode,ks_stat_avg_episode_length_vs_Average_Eventfulness,ks_stat_avg_episode_length_vs_Average_I,ks_stat_avg_sentence_length_vs_avg_clause_length,ks_stat_avg_sentence_length_vs_avg_dep_distance_clause,ks_stat_avg_sentence_length_vs_avg_dep_distance_sentence,ks_stat_avg_sentence_length_vs_avg_dep_distance_episode,ks_stat_avg_sentence_length_vs_Average_Eventfulness,ks_stat_avg_sentence_length_vs_Average_I,ks_stat_avg_clause_length_vs_avg_dep_distance_clause,ks_stat_avg_clause_length_vs_avg_dep_distance_sentence,ks_stat_avg_clause_length_vs_avg_dep_distance_episode,ks_stat_avg_clause_length_vs_Average_Eventfulness,ks_stat_avg_clause_length_vs_Average_I,ks_stat_avg_dep_distance_clause_vs_avg_dep_distance_sentence,ks_stat_avg_dep_distance_clause_vs_avg_dep_distance_episode,ks_stat_avg_dep_distance_clause_vs_Average_Eventfulness,ks_stat_avg_dep_distance_clause_vs_Average_I,ks_stat_avg_dep_distance_sentence_vs_avg_dep_distance_episode,ks_stat_avg_dep_distance_sentence_vs_Average_Eventfulness,ks_stat_avg_dep_distance_sentence_vs_Average_I,ks_stat_avg_dep_distance_episode_vs_Average_Eventfulness,ks_stat_avg_dep_distance_episode_vs_Average_I,ks_stat_Average_Eventfulness_vs_Average_I
11.0,8.4,90.0,0.2,0.28,145.0,0.5,0.12,871.0,0.9,0.12,5514.0,0.30000000000000004,0.12,60.5934065934,0.8,0.24,38.0275862069,0.5,0.08,6.3306544202,0.8,0.12,0.4339839265,0.5,0.2,2.6068965517,0.1,0.24,4.1538461538,0.1,0.16,0.6275862069,0.7000000000000001,0.12,1.6360523187,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
12.0,8.24,1.0,0.2,0.28,54.0,0.5,0.12,425.0,0.9,0.12,3082.0,0.30000000000000004,0.12,1541.0,0.8,0.24,57.0740740741,0.5,0.08,7.2517647059,0.8,0.12,0.4941176471,0.5,0.2,3.8888888889,0.1,0.24,105.0,0.1,0.16,0.037037037,0.7000000000000001,0.12,0.1440329218,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
13.0,8.08,1.0,0.2,0.28,83.0,0.5,0.12,738.0,0.9,0.12,5396.0,0.30000000000000004,0.12,2698.0,0.8,0.24,65.0120481928,0.5,0.08,7.3116531165,0.8,0.12,0.27100271,0.5,0.2,2.4096385542,0.1,0.24,100.0,0.1,0.16,0.0240963855,0.7000000000000001,0.12,0.0580635796,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
14.0,7.92,15.0,0.2,0.28,88.0,0.5,0.12,863.0,0.9,0.12,5460.0,0.30000000000000004,0.12,341.25,0.8,0.24,62.0454545455,0.5,0.08,6.3267670915,0.8,0.12,0.1610660487,0.5,0.2,1.5795454545,0.1,0.24,8.6875,0.1,0.16,0.1818181818,0.7000000000000001,0.12,0.2871900826,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
15.0,7.76,1.0,0.2,0.28,48.0,0.5,0.12,404.0,0.9,0.12,3032.0,0.30000000000000004,0.12,1516.0,0.8,0.24,63.1666666667,0.5,0.08,7.504950495,0.8,0.12,0.650990099,0.5,0.2,5.4791666667,0.1,0.24,131.5,0.1,0.16,0.0416666667,0.7000000000000001,0.12,0.2282986111,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
16.0,7.6,46.0,0.2,0.28,142.0,0.5,0.12,968.0,0.9,0.12,6618.0,0.30000000000000004,0.12,140.8085106383,0.8,0.24,46.6056338028,0.5,0.08,6.8367768595,0.8,0.12,0.5123966942,0.5,0.2,3.4929577465,0.1,0.24,10.5531914894,0.1,0.16,0.3309859155,0.7000000000000001,0.12,1.1561198175,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
17.0,7.44,8.0,0.2,0.28,66.0,0.5,0.12,462.0,0.9,0.12,3196.0,0.30000000000000004,0.12,355.1111111111,0.8,0.24,48.4242424242,0.5,0.08,6.9177489177,0.8,0.12,4.038961039,0.5,0.2,28.2727272727,0.1,0.24,207.3333333333,0.1,0.16,0.1363636364,0.7000000000000001,0.12,3.8553719008,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
18.0,7.28,1.0,0.2,0.28,40.0,0.5,0.12,298.0,0.9,0.12,2070.0,0.30000000000000004,0.12,1035.0,0.8,0.24,51.75,0.5,0.08,6.9463087248,0.8,0.12,1.177852349,0.5,0.2,8.775,0.1,0.24,175.5,0.1,0.16,0.05,0.7000000000000001,0.12,0.43875,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
19.0,7.12,1.0,0.2,0.28,127.0,0.5,0.12,746.0,0.9,0.12,4818.0,0.30000000000000004,0.12,2409.0,0.8,0.24,37.937007874,0.5,0.08,6.4584450402,0.8,0.12,0.6434316354,0.5,0.2,3.7795275591,0.1,0.24,240.0,0.1,0.16,0.0157480315,0.7000000000000001,0.12,0.059520119,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
20.0,6.96,5.0,0.2,0.28,68.0,0.5,0.12,420.0,0.9,0.12,2740.0,0.30000000000000004,0.12,456.6666666667,0.8,0.24,40.2941176471,0.5,0.08,6.5238095238,0.8,0.12,0.9666666667,0.5,0.2,5.9705882353,0.1,0.24,67.6666666667,0.1,0.16,0.0882352941,0.7000000000000001,0.12,0.526816609,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
