tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,24,45,238,2034,81.36,45.2,8.546218487394958,2.5,13.222222222222221,23.8,0.5555555555555556,7.345679012345679,12.5549731471536
2,25,43,296,1640,63.07692307692308,38.13953488372093,5.54054054054054,0.02364864864864865,0.16279069767441862,0.2692307692307692,0.6046511627906976,0.09843158464034614,9.513858695652168
3,38,67,372,2824,72.41025641025641,42.149253731343286,7.591397849462366,0.01881720430107527,0.1044776119402985,0.1794871794871795,0.582089552238806,0.06081532635330809,10.852091554853981
4,22,33,146,1196,52.0,36.24242424242424,8.191780821917808,0.2328767123287671,1.0303030303030303,1.4782608695652173,0.696969696969697,0.7180899908172635,10.435817490494294
5,20,30,168,1498,71.33333333333333,49.93333333333333,8.916666666666666,0.22023809523809523,1.2333333333333334,1.7619047619047619,0.7,0.8633333333333333,13.107579908675795
6,15,20,96,822,51.375,41.1,8.5625,2.25,10.8,13.5,0.8,8.64,10.473369565217386
7,28,57,270,1810,62.41379310344828,31.75438596491228,6.703703703703703,1.2148148148148148,5.754385964912281,11.310344827586206,0.5087719298245614,2.927670052323792,13.636780487804877
8,15,27,156,1132,70.75,41.925925925925924,7.256410256410256,1.3846153846153846,8.0,13.5,0.5925925925925926,4.7407407407407405,12.227027027027027
9,23,32,166,1576,65.66666666666667,49.25,9.493975903614459,0.04216867469879518,0.21875,0.2916666666666667,0.75,0.1640625,14.134097902097906
10,40,101,582,3554,86.6829268292683,35.18811881188119,6.106529209621993,0.5567010309278351,3.207920792079208,7.902439024390244,0.40594059405940597,1.3022252720321539,6.023623649078193
11,14,21,102,810,54.0,38.57142857142857,7.9411764705882355,2.1176470588235294,10.285714285714286,14.4,0.7142857142857143,7.346938775510205,12.229354838709671
12,13,26,146,956,68.28571428571429,36.76923076923077,6.5479452054794525,1.4794520547945205,8.307692307692308,15.428571428571429,0.5384615384615384,4.4733727810650885,10.28554545454545
13,38,60,324,2480,63.58974358974359,41.333333333333336,7.654320987654321,0.11419753086419752,0.6166666666666667,0.9487179487179487,0.65,0.4008333333333334,10.42294220665499
14,14,25,132,896,59.733333333333334,35.84,6.787878787878788,1.6363636363636365,8.64,14.4,0.6,5.184,10.735323383084573
15,13,26,188,1110,79.28571428571429,42.69230769230769,5.904255319148936,2.2180851063829787,16.03846153846154,29.785714285714285,0.5384615384615384,8.636094674556213,9.88098484848485
16,22,46,280,1824,79.30434782608695,39.65217391304348,6.514285714285714,1.7821428571428573,10.847826086956522,21.695652173913043,0.5,5.423913043478261,13.240048721071862
17,28,53,246,1710,58.96551724137931,32.264150943396224,6.951219512195122,3.0121951219512195,13.981132075471699,25.551724137931036,0.5471698113207547,7.650053399786401,12.04061935483871
18,28,43,306,2142,73.86206896551724,49.81395348837209,7.0,1.34640522875817,9.581395348837209,14.206896551724139,0.6744186046511628,6.461871281773931,10.348571428571425
19,24,53,306,1984,79.36,37.43396226415094,6.483660130718954,2.1862745098039214,12.622641509433961,26.76,0.4716981132075472,5.954076183695265,12.851066666666664
20,20,52,330,2242,106.76190476190476,43.11538461538461,6.793939393939394,1.7363636363636363,11.01923076923077,27.285714285714285,0.40384615384615385,4.450073964497042,12.515928143712575
21,35,74,432,2500,69.44444444444444,33.78378378378378,5.787037037037037,0.013888888888888888,0.08108108108108109,0.16666666666666666,0.4864864864864865,0.03944485025566107,8.884794144556267
22,25,37,176,1512,58.15384615384615,40.86486486486486,8.590909090909092,0.16477272727272727,0.7837837837837838,1.1153846153846154,0.7027027027027027,0.5507669831994156,12.750352941176473
23,27,49,252,2038,72.78571428571429,41.59183673469388,8.087301587301587,0.11507936507936507,0.5918367346938775,1.0357142857142858,0.5714285714285714,0.33819241982507287,13.004588744588744
24,20,44,230,2032,96.76190476190476,46.18181818181818,8.834782608695653,2.1652173913043478,11.318181818181818,23.714285714285715,0.4772727272727273,5.401859504132232,13.89035398230088
