Tale Number,word_length_Hurst,word_length_Moran_linear,sentence_length_Hurst,sentence_length_Moran_linear,clause_length_Hurst,clause_length_Moran_linear,episode_length_Hurst,episode_length_Moran_linear,letter_count_Hurst,letter_count_Moran_linear
1,0.5284215450519689,0.009588518968633861,0.7183617707775004,0.03750758495145633,0.30235862427344484,-0.1334106079249104,,-0.353402340196288,0.5298876513259422,0.0006536718701044452
2,0.6033508807460713,-0.025108748980970555,0.5028118151121679,-0.06544960677625113,0.6005513279401963,-0.04732531220539751,,0.0376494912022711,0.5173508225998054,0.01245710341383719
3,0.3550605659558108,-0.03639088513874617,0.5211993066390346,0.12739856579227984,0.4292157463709307,-0.16552209609603707,,0.06907015171999399,0.5506917184222107,0.026481476305287688
4,0.6120612574002274,-0.04155114027150085,0.6057044177007133,0.1516154915998808,0.5174572689969196,0.16266031072823756,,-0.2575322790746299,0.5324029349287571,0.02417615303741662
5,0.42879039168966543,0.01975658253230636,0.8098430496589499,-0.12103538492294587,0.5471100198960979,-0.06561317336767239,,0.49870218436636676,0.6625725706456563,-0.01433205401783249
