Tale Number,word_length_Hurst,Moran_linear,sentence_length_Hurst,clause_length_Hurst,episode_length_Hurst,letter_count_Hurst
1,0.7633450294928084,-0.00504541871825018,0.5559416760169552,0.47324609457381656,,0.5218521688534993
2,0.4828181063145125,-0.06412727026651763,0.5540382189022804,0.45353298957489085,,0.47209155453283225
3,0.44784230295844296,-0.047355732673068356,0.38757861261139215,0.5678971374359189,,0.5295587830642434
4,0.5877646129129531,0.0026082775965629284,0.7163147399326405,0.3463216739029906,,0.46647440876082935
5,0.6539673045134857,-0.08129840702203212,0.49165995573320054,0.6101055054054119,,0.4760855452342776
6,0.8878139691528686,-0.07617411053113536,0.7376595474312676,0.4576559509113962,,0.729206438881167
7,0.4091439511214518,-0.0457448330412119,0.5556114381418307,0.7700470938947022,,0.6153988064467389
8,0.6065657494339661,-0.05809099316869617,0.8631318473559906,0.6251939565666756,,0.455812742841429
9,0.30465746795147824,-0.014525834613662237,0.40090940170652645,0.5010080227591655,,0.48061451069997907
10,0.37132262695720775,-0.01176573488922131,0.5110798829032379,0.6316622851359343,,0.44415100229683163
