tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,8,39,241,1748,194.22222222222223,44.82051282051282,7.253112033195021,3.4024896265560165,21.025641025641026,91.11111111111111,0.23076923076923078,4.85207100591716,8.260108695652175
2,7,56,353,2364,295.5,42.214285714285715,6.696883852691218,1.3456090651558075,8.482142857142858,59.375,0.14285714285714285,1.211734693877551,7.635417956656344
3,9,58,455,3064,306.4,52.827586206896555,6.734065934065934,1.167032967032967,9.155172413793103,53.1,0.1724137931034483,1.5784780023781213,8.495862607338015
4,18,121,865,5816,306.10526315789474,48.06611570247934,6.723699421965318,0.8427745664739884,6.024793388429752,38.36842105263158,0.15702479338842976,0.9460419370261595,8.581445182724252
5,18,155,987,6230,327.89473684210526,40.193548387096776,6.3120567375886525,0.6028368794326241,3.838709677419355,31.31578947368421,0.12258064516129032,0.47055150884495317,8.655993836671797
6,6,82,521,3424,489.14285714285717,41.75609756097561,6.571976967370442,0.9289827255278311,5.902439024390244,69.14285714285714,0.08536585365853659,0.5038667459845331,7.803408450704225
7,18,53,411,2984,157.05263157894737,56.301886792452834,7.260340632603406,0.7031630170316302,5.452830188679245,15.210526315789474,0.3584905660377358,1.9547881808472765,8.263397386625666
8,4,55,377,2512,502.4,45.67272727272727,6.663129973474801,1.0769230769230769,7.381818181818182,81.2,0.09090909090909091,0.6710743801652893,7.293906399235912
9,42,139,962,6618,153.90697674418604,47.611510791366904,6.879417879417879,0.5155925155925156,3.568345323741007,11.534883720930232,0.30935251798561153,1.1038766109414628,7.789353023909985
10,8,66,462,3196,355.1111111111111,48.42424242424242,6.917748917748917,4.038961038961039,28.272727272727273,207.33333333333334,0.13636363636363635,3.855371900826446,7.382831050228315
11,5,68,420,2740,456.6666666666667,40.294117647058826,6.523809523809524,0.9666666666666667,5.970588235294118,67.66666666666667,0.08823529411764706,0.5268166089965398,5.428017467248907
12,5,13,74,544,90.66666666666667,41.84615384615385,7.351351351351352,4.878378378378378,27.76923076923077,60.166666666666664,0.46153846153846156,12.81656804733728,6.852469635627532
13,48,119,683,4124,84.16326530612245,34.65546218487395,6.038067349926793,1.3367496339677891,7.6722689075630255,18.632653061224488,0.4117647058823529,3.15916955017301,7.322545668827338
14,10,49,316,2096,190.54545454545453,42.775510204081634,6.632911392405063,0.43037974683544306,2.7755102040816326,12.363636363636363,0.22448979591836735,0.6230737192836319,8.551532524807055
15,5,67,456,3432,572.0,51.223880597014926,7.526315789473684,0.6798245614035088,4.626865671641791,51.666666666666664,0.08955223880597014,0.4143461795500111,9.064821066846726
,,,,,,,,,,,,,
