Feature,Entropy,Hurst,linear,exponential,binary
word_length,3.3905226896102714,0.5051288147353171,-0.1945605516092924,-0.1945605516092924,0.09234112910977293
sentence_length,1.7599094519877647,0.5212854992811919,-0.06878318090340406,-0.06878318090340406,0.0859856519948766
clause_length,1.2626136797259124,0.5936373836759077,-0.25286589841089335,-0.25286589841089335,0.03769476621558765
episode_length,0.5137937375826342,,0.1047585611524329,0.1047585611524329,0.07061594218101351
letter_count,1.651262316050484,0.47764218819782744,-0.011716901480249878,-0.011716901480249878,0.13967523156461253
