Tale Number,word_length_Hurst,word_length_Moran_linear,sentence_length_Hurst,sentence_length_Moran_linear,clause_length_Hurst,clause_length_Moran_linear,episode_length_Hurst,episode_length_Moran_linear,letter_count_Hurst,letter_count_Moran_linear
1,0.47555248113244253,,0.7486906129215576,,0.6394852947845188,,,,0.42804250137071553,
2,0.4872267374303005,,0.5500687628015142,,0.602391853153462,,,,0.46440783436214916,
3,0.5586627886974903,,0.7619511460335178,,0.5587580036217791,,,,0.6280131669726521,
4,0.6011457694431926,,0.8283256671950959,,0.6200828468273423,,,,0.6028682118369096,
5,0.453052002038798,,0.40241088464068175,,0.8065134311246983,,,,0.5201849010973816,
