Feature,Entropy,Hurst,Mul_entropy,linear,exponential,binary
word_length,3.4722280246672343,0.45406113534765613,"[3.4722280246672343, 4.954165274060624, 5.543944966194651, 6.829970793431456, 7.725960140601789, 5.699924319849624, 6.7867193984702645, 6.135661087720364, 6.547650727021183, 6.508590341750489, 6.862338531736676, 5.4071687008668015, 6.107061040662646, 5.891681323168351, 5.053641265190576, 5.547020323175463, 4.929211117364861, 4.301332417183737, 4.23076443998937, 3.575945620721215]",-0.09309493848941423,-0.09309493848941423,0.11446673732250395
sentence_length,1.158813184333025,0.5738372412600207,"[1.158813184333025, 1.6427949131647517, 2.269406808088055, 2.339585158721464, 2.4582121708790505, 2.8287930072922416, 2.5062029928013523, 1.6951797627815957, 1.0141130112683319, 1.5920307250037438, 0.3483361323536586, -3.254745144540545, -5.641131279507563, -73.8520095127002, -5.383748050624732, -4.663933458736988, -13.417717206732005, -6.805044389535127, -86.4385618977538, -86.4385618977538]",-0.022995384675353097,-0.022995384675353097,0.08197027178816721
clause_length,2.180121848368916,0.4653374816511762,"[2.180121848368916, 3.453876300424221, 3.678612758459472, 3.8876118871231133, 4.010239142030344, 4.015184046439899, 4.505773489757155, 5.402575468417, 3.8715489464646233, 4.600769849554756, 4.522629895820648, 4.016260587633072, 4.757574574480615, 1.8866228059632904, 2.462499328802926, 2.679819512034148, 0.08794086146812295, -3.479797184458758, -1.4062307227700062, 0.8030644930593974]",-0.05440975453137718,-0.05440975453137718,0.13419122633702205
episode_length,0.7317476974285023,,"[0.7317476974285023, 1.0329030192537945, 1.4367260369350268, 1.3878717256773838, 1.444036486021462, -0.9999877553516712, -0.5189156497850269, 0.5497996032692362, -86.4385618977538, -86.4385618977538, -86.4385618977538, -86.4385618977538, -86.4385618977538, -86.4385618977538, -86.4385618977538, -86.4385618977538, -86.4385618977538, 0.0, 0.0, 0.0]",-0.1601739308568753,-0.1601739308568753,-0.03363994890712894
letter_count,1.6192279754695336,0.5244998234083313,"[1.6192279754695336, 2.2102010514056936, 2.7318478226778753, 2.8795138694503115, 3.343430410121399, 3.5591139769115268, 3.6966660495537473, 3.6217870319384255, 4.499657327807572, 4.174534998742111, 3.6514676568806785, 4.005350410028667, 4.284205632750515, 4.257905038343345, 4.310703214627936, 4.593762289064816, 5.321741976006958, 6.0928386972017226, 5.8391054390954595, 4.967873767747417]",-0.06652995959107512,-0.06652995959107512,0.11494938993186879
