tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
1.0,11.0,48.0,468.0,2728.0,227.3333333333333,56.833333333333336,5.829059829059829,0.2564102564102564,2.5,10.0,0.25,0.625,5.737785588752196,-0.3658606931788076,2.237179487179487,0.6925695126187997,0.6826083327770178,0.4671014029264136,0.9369,0.9415,0.8071,1.2442,1.3462
2.0,7.0,80.0,406.0,2440.0,305.0,30.5,6.009852216748769,0.229064039408867,1.1625,11.625,0.1,0.11625,5.117378351539223,-0.3753620684155792,2.388482289467511,0.4237714994746913,0.7488153669271955,0.668403723102862,0.9439,0.8368,1.0042,0.9271,0.694
3.0,7.0,75.0,706.0,4290.0,536.25,57.2,6.076487252124646,1.1558073654390937,10.88,102.0,0.1066666666666666,1.1605333333333334,6.062770270270267,-0.3517154431878717,2.385818606951751,0.5398587286515845,0.7747297475908616,0.6820817543100043,0.9666,0.9626,1.061,1.1813,1.2339
4.0,19.0,107.0,1006.0,6102.0,305.1,57.02803738317757,6.065606361829026,2.279324055666004,21.42990654205608,114.65,0.1869158878504672,4.005590007860948,6.270678287230012,-0.3577290777573595,2.2260421729338677,0.6455792096154709,0.676638411112109,0.827946640777901,0.9289,1.3429,1.0077,1.1402,1.2987
5.0,16.0,50.0,482.0,3028.0,178.11764705882354,60.56,6.282157676348548,0.3983402489626556,3.84,11.294117647058824,0.34,1.3056,5.771951219512193,-0.3591729837371155,2.372842323651452,0.6347401221788618,0.5016778198133318,0.6236813636365734,0.9307,0.949,1.3605,0.9412,1.18
6.0,12.0,144.0,1188.0,7300.0,561.5384615384615,50.69444444444444,6.1447811447811445,0.25,2.0625,22.846153846153847,0.0902777777777777,0.1861979166666666,5.670234374999996,-0.3528252549134184,2.289445379723157,0.4124865717280505,0.8997950201171551,0.7169867292719422,0.9379,0.994,0.9549,1.0864,0.5109
7.0,28.0,128.0,1182.0,6850.0,236.20689655172413,53.515625,5.795262267343485,0.3096446700507614,2.859375,12.620689655172416,0.2265625,0.6478271484375,5.974237995824634,-0.3674451998028679,2.112363150632504,0.5661506774589885,0.6845733055006239,0.6118605016420475,0.9269,0.9427,1.0822,1.1358,1.0686
8.0,11.0,40.0,480.0,2992.0,249.3333333333333,74.8,6.233333333333333,1.4,16.8,56.0,0.3,5.04,7.323691838291378,-0.3513483690488033,2.3944444444444444,0.768774786378947,0.923286831192618,0.8356395229137588,0.9242,0.8991,1.1344,1.041,1.2997
9.0,17.0,135.0,1160.0,7032.0,390.6666666666667,52.08888888888889,6.062068965517241,0.4681034482758621,4.022222222222222,30.166666666666668,0.1333333333333333,0.5362962962962963,6.003337765957447,-0.3572185920443781,2.222791300428217,0.5283221703446267,0.5281922787575122,0.9012300326707904,0.9326,1.1417,1.0025,1.2736,1.7214
10.0,7.0,54.0,404.0,2490.0,311.25,46.11111111111112,6.163366336633663,0.905940594059406,6.777777777777778,45.75,0.1481481481481481,1.0041152263374484,5.401842610364682,-0.3607437165566154,2.441886252117275,0.6884606871015065,0.8302256191004929,0.7288509241182635,0.9232,0.7681,1.1549,1.189,0.7305
11.0,6.0,33.0,238.0,1278.0,182.57142857142856,38.72727272727273,5.369747899159663,1.3907563025210083,10.030303030303031,47.285714285714285,0.2121212121212121,2.1276400367309463,6.849530434782608,-0.3883549566618711,2.205160852219676,0.6312260696448335,1.0184929846105717,0.5705058494892402,0.925,0.9238,1.0307,0.7271,0.9998
12.0,21.0,106.0,920.0,5294.0,240.63636363636363,49.943396226415096,5.754347826086956,0.1021739130434782,0.8867924528301887,4.2727272727272725,0.2075471698113207,0.1840512637949448,6.123086155165023,-0.3696873020877895,2.117042983449874,0.3005480953636196,0.5548167698369887,0.5121157429143429,0.9284,1.3065,1.4228,0.6524,1.2795
13.0,2.0,13.0,114.0,854.0,284.6666666666667,65.6923076923077,7.491228070175438,3.0964912280701755,27.15384615384616,117.66666666666669,0.2307692307692307,6.266272189349112,5.507934782608693,-0.3341574782774992,3.860548807917228,,,,0.9472,1.1062,1.0517,1.4119,1.9117
14.0,1.0,11.0,120.0,690.0,345.0,62.72727272727273,5.75,1.8833333333333333,20.545454545454547,113.0,0.1818181818181818,3.735537190082645,6.64724919093851,-0.3605041732935361,3.9244949494949495,,,,0.8876,1.4268,0.8498,1.7469,
