tale_id;num_episodes;num_sentences;num_clauses;num_words;avg_sentences/episode;avg_clauses/sentence;avg_words/clause;avg_episode_length;avg_sentence_length;avg_clause_length;avg_dep_distance_clause;avg_dep_distance_sentence;avg_dep_distance_episode;Average_Eventfulness;Average_I;CLI;Average_homotethy;D_h
1;8;39;241;1748;4.875;6.1794871795;7.2531120332;194.2222222222;44.8205128205;7.2531120332;3.4024896266;21.0256410256;91.1111111111;0.2307692308;4.8520710059;8.2601086957;6.102533070900001;-0.6170645190310656
2;7;56;353;2364;8.0;6.3035714286;6.6968838527;295.5;42.2142857143;6.6968838527;1.3456090652;8.4821428571;59.375;0.1428571429;1.2117346939;7.6354179567;7.000151760433333;-0.5675827733084052
3;9;58;455;3064;6.4444444444;7.8448275862;6.7340659341;306.4;52.8275862069;6.7340659341;1.167032967;9.1551724138;53.1;0.1724137931;1.5784780024;8.4958626073;7.007779321566666;-0.566338857440919
4;20;123;869;5816;6.15;7.0650406504;6.6927502877;276.9523809524;47.2845528455;6.6927502877;0.8388952819;5.9268292683;34.7142857143;0.1707317073;1.01189768;8.5814451827;6.6359303127;-0.5815405992391914
5;18;155;987;6230;8.6111111111;6.3677419355;6.3120567376;327.8947368421;40.1935483871;6.3120567376;0.6028368794;3.8387096774;31.3157894737;0.1225806452;0.4705515088;8.6559938367;7.096969928066667;-0.5666590450121324
6;1;92;727;5998;92.0;7.902173913;8.250343879;2999.0;65.1956521739;8.250343879;0.3314993122;2.6195652174;120.5;0.0217391304;0.0569470699;7.6590550071;36.050839264;-0.4316771760376062
7;6;82;521;3424;13.6666666667;6.3536585366;6.5719769674;489.1428571429;41.756097561;6.5719769674;0.9289827255;5.9024390244;69.1428571429;0.0853658537;0.503866746;7.8034084507;8.864100723566667;-0.5325920942219056
8;83;198;977;6582;2.3855421687;4.9343434343;6.7369498465;78.3571428571;33.2424242424;6.7369498465;1.5301944729;7.5505050505;17.7976190476;0.4242424242;3.2032445669;8.3886558761;4.6856118165;-0.8425919397134575
9;19;54;413;2984;2.8421052632;7.6481481481;7.2251815981;149.2;55.2592592593;7.2251815981;0.6997578692;5.3518518519;14.45;0.3703703704;1.9821673525;8.2633973866;5.905145003133334;-0.7157660974909846
10;4;55;377;2512;13.75;6.8545454545;6.6631299735;502.4;45.6727272727;6.6631299735;1.0769230769;7.3818181818;81.2;0.0909090909;0.6710743802;7.2939063992;9.089225142666665;-0.5230473520042396
11;90;145;871;5514;1.6111111111;6.0068965517;6.3306544202;60.5934065934;38.0275862069;6.3306544202;0.4339839265;2.6068965517;4.1538461538;0.6275862069;1.6360523187;7.3749527897;4.6495540276666665;-1.1705383342680438
12;1;54;425;3082;54.0;7.8703703704;7.2517647059;1541.0;57.0740740741;7.2517647059;0.4941176471;3.8888888889;105.0;0.037037037;0.1440329218;9.3178176383;23.0407116921;-0.4541406301800854
