tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
1.0,6.0,29.0,189.0,1592.0,227.42857142857144,54.89655172413793,8.423280423280424,0.671957671957672,4.379310344827586,18.142857142857142,0.2413793103448276,1.057074910820452,11.038989598811291,-0.33075284134283,3.407326319203714,0.8434291792551928,0.8341694755474468,0.822750852663799,0.9983,1.2166,1.3075,1.1768,0.9183
2.0,11.0,74.0,411.0,3190.0,265.8333333333333,43.108108108108105,7.761557177615572,0.8418491484184915,4.675675675675675,28.83333333333333,0.1621621621621621,0.758217677136596,11.212188200149368,-0.3416002826875616,2.9364547028780605,0.274630089981611,0.9040388266522168,0.626153854435022,1.0147,1.003,1.2249,1.2263,0.9603
3.0,5.0,27.0,145.0,1112.0,185.3333333333333,41.18518518518518,7.6689655172413795,2.613793103448276,14.037037037037036,63.16666666666666,0.2222222222222222,3.119341563786008,10.178683651804668,-0.3483780621973302,3.2037292464878675,0.3664488625395879,0.623874719326559,0.8223461961274772,1.0018,1.0256,1.0331,1.2857,0.3748
4.0,7.0,44.0,274.0,2066.0,258.25,46.95454545454545,7.54014598540146,1.1204379562043796,6.977272727272728,38.375,0.1818181818181818,1.2685950413223142,11.185671641791046,-0.3423417438748251,2.986570607008563,0.6559804041862642,1.0538826319057737,0.7020861699071149,1.002,0.7528,1.1721,1.0637,0.1647
5.0,9.0,37.0,199.0,1492.0,149.2,40.32432432432432,7.49748743718593,0.2412060301507537,1.2972972972972974,4.8,0.2702702702702703,0.3506208911614317,10.631487999999996,-0.3539970311193507,2.928913838461577,0.7685247818595718,0.5436455430513212,0.7553803217475256,1.0256,1.1155,0.6195,0.9156,1.0275
6.0,7.0,48.0,302.0,2276.0,284.5,47.41666666666666,7.536423841059602,0.2582781456953642,1.625,9.75,0.1666666666666666,0.2708333333333333,10.950502092050211,-0.3410150259952436,2.97955429412383,0.9375400750150222,0.7961807264023034,1.0214627696788945,1.0097,1.0792,0.7794,1.1498,0.7713
7.0,10.0,42.0,310.0,2444.0,222.1818181818182,58.19047619047619,7.883870967741935,1.2,8.857142857142858,33.81818181818182,0.2619047619047619,2.3197278911564627,11.956230769230764,-0.3352412322753539,3.0232155657962108,0.5434589884807353,0.7972628996199642,0.6221360939504382,0.9878,1.3933,1.457,1.0676,1.349
8.0,8.0,47.0,270.0,2118.0,235.3333333333333,45.06382978723404,7.844444444444444,0.4555555555555555,2.617021276595745,13.666666666666666,0.1914893617021276,0.5011317338162065,12.066216216216215,-0.3410088121312156,3.063521145258734,0.4328338834393876,0.9616648992697218,0.7779004107450841,1.0069,0.6737,0.8971,1.0059,0.3797
9.0,8.0,34.0,185.0,1490.0,165.55555555555554,43.8235294117647,8.054054054054054,5.227027027027027,28.44117647058824,107.44444444444444,0.2647058823529412,7.528546712802768,12.313354430379746,-0.3440874240204055,3.16976682564918,0.3846860245666427,0.5659638630833083,0.5353625157911995,0.9872,1.1105,1.2142,1.0888,1.4346
10.0,9.0,49.0,270.0,1968.0,196.8,40.16326530612245,7.288888888888889,0.4666666666666667,2.571428571428572,12.6,0.2040816326530612,0.5247813411078718,11.648260869565217,-0.3528512620362896,2.828109515411103,0.6029126770739613,0.981246700277533,0.5141679925252688,1.0093,0.4651,1.1119,1.2094,0.2793
11.0,4.0,20.0,131.0,1046.0,209.2,52.3,7.984732824427481,0.8015267175572519,5.25,21.0,0.25,1.3125,11.231625835189313,-0.3373501579885294,3.461195928753181,0.5452057934549385,1.010102580784527,0.6315342722229909,1.0193,0.84,1.0399,1.5097,0.7689
12.0,8.0,43.0,243.0,1788.0,198.66666666666663,41.58139534883721,7.358024691358024,1.2962962962962965,7.325581395348837,35.0,0.2093023255813953,1.5332612222823148,11.641076716016151,-0.350932437176281,2.888011611956488,0.5668927451687708,1.0009593042835352,0.7568316254428824,1.0155,1.3947,0.8001,0.9864,1.2221
13.0,5.0,25.0,154.0,1202.0,200.3333333333333,48.08,7.805194805194805,2.1493506493506493,13.24,55.16666666666666,0.24,3.1776,11.47217221135029,-0.3418714488275134,3.256190476190477,0.6279624511271251,1.078950290783897,0.1797253459532668,0.9745,1.1496,1.2086,1.0842,1.3267
14.0,3.0,27.0,167.0,1262.0,315.5,46.74074074074074,7.5568862275449105,0.7964071856287425,4.925925925925926,33.25,0.1481481481481481,0.7297668038408778,11.218983050847452,-0.3399615020826163,3.461891032749316,0.7272264349702686,0.4801866036276733,0.695213664548924,0.9979,0.8118,1.1507,0.7804,1.1374
15.0,3.0,11.0,60.0,462.0,115.5,42.0,7.7,3.85,21.0,57.75,0.3636363636363636,7.636363636363637,11.472199999999996,-0.354488515465378,3.604545454545455,,,,1.0032,0.768,0.9691,1.3197,0.4221
16.0,12.0,71.0,422.0,3300.0,253.84615384615384,46.478873239436616,7.819905213270142,0.5616113744075829,3.3380281690140845,18.23076923076923,0.1830985915492957,0.6111882562983535,12.187559395248377,-0.3395880234964248,2.9409696726965264,0.6626351601031865,0.7785096332219502,0.6823118418159547,0.9857,1.2062,0.7552,1.1462,1.1471
17.0,9.0,51.0,303.0,2394.0,239.4,46.94117647058823,7.900990099009901,0.6963696369636964,4.137254901960785,21.1,0.196078431372549,0.8112264513648597,11.787944664031617,-0.3391615311985195,3.047757716948165,0.4297613346199774,0.6839881324958771,0.7514188041972062,1.0035,0.8391,0.97,0.794,0.8302
18.0,12.0,65.0,406.0,3200.0,246.15384615384616,49.23076923076923,7.881773399014778,1.1995073891625616,7.492307692307692,37.46153846153846,0.2,1.4984615384615383,11.483090638930165,-0.3378698524698563,2.966228790366721,0.4926932676199494,0.6980933883001217,0.7490186542533959,1.0181,1.1114,1.1587,0.8617,0.9503
19.0,4.0,18.0,124.0,906.0,181.2,50.333333333333336,7.306451612903226,1.403225806451613,9.666666666666666,34.8,0.2777777777777778,2.685185185185185,13.450861618798951,-0.3480175475065819,3.185334528076464,,,,0.9907,0.9658,1.1327,1.1766,0.4513
20.0,2.0,19.0,112.0,842.0,280.6666666666667,44.31578947368421,7.517857142857143,0.9375,5.526315789473684,35.0,0.1578947368421052,0.8725761772853184,10.598435754189945,-0.3430855171603555,3.8681077694235584,,,,1.0123,1.1739,1.0286,1.2014,-3.5076
,,,,,,,,,,,,,,,,,,,,,,,
